Constellation Brands Inc Price to Free Cash Flow Ratio Historical Data,Constellation Brands Inc Price to Free Cash Flow Ratio Historical Data,Constellation Brands Inc Price to Free Cash Flow Ratio Historical Data,Constellation Brands Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,263.5,,31.62
2024-02-29,247.54,$8.33,29.71
2023-11-30,238.67,$9.19,25.96
2023-08-31,257.62,$8.07,31.92
2023-05-31,239.44,$8.42,28.45
2023-02-28,219.59,$8.98,24.46
2022-11-30,251.74,$7.84,32.11
2022-08-31,239.89,$10.01,23.96
2022-05-31,238.54,$8.39,28.44
2022-02-28,208.88,$8.83,23.67
2021-11-30,217.59,$8.90,24.46
2021-08-31,203.18,$8.99,22.61
2021-05-31,229.88,$9.18,25.04
2021-02-28,204.71,$8.97,22.81
2020-11-30,196.13,$11.26,17.41
2020-08-31,175.07,$9.44,18.55
2020-05-31,163.17,$10.18,16.03
2020-02-29,162.13,$9.56,16.95
2019-11-30,174.34,$7.18,24.28
2019-08-31,190.73,$7.48,25.5
2019-05-31,164.69,$7.31,22.54
2019-02-28,157.3,$6.54,24.03
2018-11-30,181.26,$6.94,26.12
2018-08-31,192.07,$5.88,32.66
2018-05-31,205.09,$1.97,103.94
2018-02-28,197.44,$0.32,609.2
2017-11-30,198.88,$0.45,442.15
2017-08-31,182.45,$1.89,96.41
2017-02-28,144.0,$3.48,41.42
2016-11-30,136.69,$5.17,26.45
2016-08-31,147.99,$5.25,28.17
2016-05-31,137.82,$3.37,40.93
2016-02-29,126.96,$4.50,28.19
2017-05-31,166.19,$3.27,50.77
2015-11-30,125.62,$3.22,39.0
2015-08-31,114.38,$1.13,101.44
2015-05-31,105.08,$-0.51,0.0
2015-02-28,101.98,$-0.39,0.0
2014-11-30,85.69,$1.02,84.43
2014-02-28,72.03,$2.73,26.42
2013-11-30,62.59,$3.16,19.82
2013-08-31,48.22,$2.69,17.92
2013-05-31,47.12,$0.59,80.09
2013-02-28,39.33,$1.92,20.53
2014-08-31,77.42,$1.61,48.23
2012-11-30,31.89,$2.12,15.03
2012-08-31,29.28,$2.72,10.78
2012-05-31,17.15,$2.57,6.68
2012-02-29,19.41,$3.10,6.27
2011-11-30,17.31,$3.58,4.83
2011-08-31,17.57,$3.20,5.49
2011-05-31,19.52,$3.09,6.31
2011-02-28,18.06,$2.32,7.8
2010-11-30,18.32,$2.13,8.59
2010-08-31,14.81,$2.22,6.69
2010-05-31,14.81,$1.83,8.07
2010-02-28,13.37,$1.27,10.49
2009-11-30,15.21,$1.88,8.11
2009-08-31,13.15,$2.05,6.43
