Chipotle Mexican Grill Price to Free Cash Flow Ratio Historical Data,Chipotle Mexican Grill Price to Free Cash Flow Ratio Historical Data,Chipotle Mexican Grill Price to Free Cash Flow Ratio Historical Data,Chipotle Mexican Grill Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,3210.49,,67.05
2024-03-31,2906.77,$47.89,60.7
2023-12-31,2286.96,$44.13,51.83
2023-09-30,1831.83,$49.91,36.71
2023-06-30,2139.0,$44.90,47.64
2023-03-31,1708.29,$35.52,48.09
2022-12-31,1387.49,$30.08,46.13
2022-09-30,1502.76,$32.08,46.84
2022-06-30,1307.26,$30.47,42.91
2022-03-31,1582.03,$25.97,60.93
2021-12-31,1748.25,$18.98,92.12
2021-09-30,1817.52,$13.55,134.15
2021-06-30,1550.34,$8.72,177.78
2020-12-31,1386.71,$10.22,135.65
2020-09-30,1243.71,$17.13,72.59
2020-06-30,1052.36,$19.12,55.04
2020-03-31,654.4,$22.75,28.77
2019-12-31,837.11,$20.45,40.93
2021-03-31,1420.82,$18.14,78.33
2019-09-30,840.47,$12.33,68.15
2019-06-30,732.88,$12.41,59.04
2019-03-31,710.31,$16.16,43.96
2018-12-31,431.79,$13.24,32.62
2018-09-30,454.52,$14.38,31.62
2018-03-31,323.11,$10.70,30.2
2017-12-31,289.03,$8.80,32.83
2017-09-30,307.83,$4.78,64.42
2017-06-30,416.1,$4.70,88.5
2017-03-31,445.52,$4.67,95.37
2016-12-31,377.32,$3.28,115.15
2018-06-30,431.37,$5.98,72.2
2016-09-30,423.5,$3.68,115.21
2016-06-30,402.76,$6.23,64.62
2016-03-31,470.97,$7.68,61.34
2015-12-31,479.85,$13.52,35.48
2015-09-30,720.25,$14.18,50.8
2015-06-30,604.99,$14.54,41.61
2015-03-31,650.54,$15.22,42.73
2014-12-31,684.51,$13.63,50.22
2014-09-30,666.59,$14.80,45.04
2014-06-30,592.51,$12.68,46.73
2014-03-31,568.05,$11.88,47.81
2013-12-31,532.78,$10.51,50.68
2013-09-30,428.8,$10.16,42.22
2013-06-30,364.35,$10.51,34.66
2013-03-31,325.87,$10.25,31.8
2012-12-31,297.46,$7.01,42.41
2012-09-30,317.54,$6.87,46.2
2012-06-30,379.95,$7.02,54.15
2012-03-31,418.0,$2.24,186.31
2011-12-31,337.74,$4.23,79.88
2011-09-30,302.95,$3.48,87.18
2011-06-30,308.19,$2.42,127.23
2010-12-31,212.66,$5.55,38.35
2010-09-30,172.0,$7.10,24.22
2010-06-30,136.81,$7.21,18.96
2010-03-31,112.67,$6.87,16.39
2009-12-31,88.16,$6.45,13.66
2011-03-31,272.37,$4.41,61.72
