W.W Grainger Price to Free Cash Flow Ratio Historical Data,W.W Grainger Price to Free Cash Flow Ratio Historical Data,W.W Grainger Price to Free Cash Flow Ratio Historical Data,W.W Grainger Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,915.06,,42.67
2024-03-31,1015.13,$21.44,47.34
2023-12-31,825.32,$16.97,48.64
2023-09-30,687.41,$13.93,49.33
2023-06-30,781.51,$8.61,90.76
2022-12-31,548.3,$21.62,25.36
2022-09-30,480.84,$21.64,22.22
2022-06-30,445.3,$22.04,20.2
2022-03-31,503.61,$21.38,23.56
2021-12-31,504.26,$19.58,25.76
2023-03-31,680.75,$17.53,38.83
2021-09-30,381.15,$15.87,24.02
2021-06-30,423.17,$18.49,22.89
2021-03-31,386.01,$18.50,20.87
2020-12-31,391.51,$17.62,22.22
2020-09-30,340.73,$16.00,21.29
2020-06-30,298.73,$16.19,18.45
2020-03-31,235.11,$17.56,13.39
2019-12-31,318.75,$15.26,20.88
2019-09-30,278.54,$14.49,19.23
2019-06-30,250.09,$15.00,16.67
2019-03-31,279.08,$13.59,20.54
2018-12-31,260.68,$14.48,18.01
2018-09-30,328.44,$16.52,19.88
2018-06-30,282.31,$16.80,16.81
2018-03-31,257.21,$15.86,16.21
2017-12-31,214.25,$16.21,13.22
2017-09-30,161.99,$15.54,10.42
2017-06-30,161.43,$13.83,11.67
2017-03-31,206.72,$13.64,15.15
2016-12-31,205.28,$13.08,15.7
2016-09-30,197.64,$11.38,17.37
2016-06-30,198.65,$11.77,16.88
2016-03-31,202.98,$11.33,17.92
2015-12-31,175.18,$10.30,17.02
2015-09-30,184.89,$9.99,18.5
2015-06-30,202.45,$9.20,22.01
2015-03-31,200.78,$8.13,24.69
2014-12-31,216.05,$8.66,24.95
2014-09-30,212.4,$8.30,25.58
2014-06-30,213.62,$8.74,24.45
2014-03-31,211.37,$10.06,21.01
2013-12-31,212.83,$10.50,20.27
2013-09-30,217.33,$10.52,20.66
2013-06-30,208.67,$10.36,20.15
2013-03-31,185.48,$9.06,20.47
2012-12-31,166.22,$8.08,20.58
2012-09-30,170.46,$7.70,22.13
2012-06-30,155.84,$6.63,23.49
2012-03-31,174.36,$7.47,23.33
2011-12-31,151.44,$7.82,19.37
2011-09-30,120.52,$6.71,17.95
2011-06-30,123.24,$6.27,19.66
2011-03-31,109.94,$6.52,16.86
2010-12-31,109.84,$6.60,16.65
2010-09-30,94.33,$8.30,11.37
2010-06-30,78.39,$9.03,8.68
2010-03-31,84.79,$9.06,9.36
2009-12-31,75.59,$7.90,9.57
