Becton Dickinson Price to Free Cash Flow Ratio Historical Data,Becton Dickinson Price to Free Cash Flow Ratio Historical Data,Becton Dickinson Price to Free Cash Flow Ratio Historical Data,Becton Dickinson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,238.29,,22.68
2024-03-31,246.47,$10.51,23.45
2023-12-31,241.9,$9.20,26.28
2023-09-30,255.44,$7.34,34.81
2023-06-30,259.97,$6.06,42.92
2023-03-31,242.87,$4.45,54.56
2022-12-31,248.53,$-4.16,0.0
2022-09-30,216.98,$-3.50,0.0
2022-06-30,239.25,$-4.65,0.0
2022-03-31,250.91,$-2.95,0.0
2021-09-30,230.29,$10.04,22.94
2021-06-30,227.11,$15.18,14.96
2021-03-31,226.29,$15.25,14.84
2020-12-31,232.08,$14.28,16.25
2020-09-30,215.06,$10.84,19.85
2021-12-31,236.43,$6.33,37.33
2020-06-30,220.41,$8.80,25.04
2020-03-31,210.99,$9.08,23.22
2019-12-31,248.88,$10.32,24.13
2019-09-30,230.78,$8.64,26.72
2019-06-30,229.24,$8.86,25.88
2019-03-31,226.43,$7.57,29.92
2018-12-31,203.66,$7.11,28.64
2018-09-30,235.14,$7.44,31.59
2018-06-30,215.19,$7.36,29.22
2018-03-31,194.03,$6.97,27.84
2017-12-31,191.02,$7.84,24.37
2017-09-30,174.26,$8.15,21.37
2017-06-30,172.88,$6.25,27.68
2017-03-31,161.93,$8.58,18.86
2016-12-31,145.56,$7.99,18.22
2016-09-30,157.32,$8.58,18.34
2016-06-30,147.9,$9.16,16.15
2016-03-31,131.89,$7.76,17.0
2015-12-31,133.26,$1.46,91.42
2015-09-30,114.24,$1.27,90.17
2015-06-30,121.44,$0.32,373.89
2015-03-31,122.58,$0.03,4212.27
2014-09-30,96.34,$5.53,17.43
2014-06-30,99.67,$6.84,14.57
2014-03-31,98.2,$6.73,14.59
2013-12-31,92.23,$6.21,14.86
2013-09-30,83.07,$5.67,14.66
2013-06-30,81.68,$4.72,17.31
2013-03-31,78.61,$5.45,14.43
2012-12-31,63.93,$5.27,12.14
2012-09-30,63.82,$5.45,11.71
2012-06-30,60.37,$5.03,12.01
2012-03-31,62.33,$4.05,15.38
2011-12-31,59.62,$3.83,15.56
2011-09-30,58.15,$4.59,12.66
2011-06-30,67.99,$4.35,15.65
2011-03-31,62.52,$4.59,13.61
2010-12-31,66.03,$4.63,14.25
2010-09-30,57.6,$4.00,14.4
2010-06-30,52.28,$4.39,11.92
2010-03-31,60.55,$4.43,13.67
2009-12-31,60.36,$4.00,15.1
2009-09-30,53.14,$3.90,13.61
