Home Depot Price to Free Cash Flow Ratio Historical Data,Home Depot Price to Free Cash Flow Ratio Historical Data,Home Depot Price to Free Cash Flow Ratio Historical Data,Home Depot Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,355.8,,19.87
2024-01-31,350.87,$17.91,19.59
2023-10-31,281.11,$20.61,13.64
2023-07-31,327.58,$21.69,15.1
2023-04-30,292.74,$17.90,16.36
2023-01-31,313.51,$15.86,19.77
2024-04-30,334.22,$12.32,27.13
2022-10-31,284.72,$9.80,29.04
2022-07-31,287.45,$10.45,27.51
2022-04-30,285.12,$10.84,26.31
2022-01-31,346.23,$13.24,26.16
2021-10-31,349.29,$11.49,30.39
2021-07-31,306.8,$10.77,28.5
2021-04-30,300.99,$15.79,19.06
2021-01-31,250.29,$15.19,16.48
2020-10-31,245.14,$16.64,14.73
2020-07-31,242.75,$16.20,14.99
2020-04-30,199.81,$11.17,17.89
2020-01-31,205.87,$10.04,20.51
2019-10-31,210.38,$10.22,20.58
2019-07-31,190.49,$10.09,18.89
2019-04-30,180.34,$10.07,17.91
2019-01-31,161.27,$9.38,17.19
2018-10-31,153.66,$8.74,17.59
2018-07-31,171.69,$8.62,19.91
2018-04-30,159.75,$8.14,19.62
2018-01-31,172.67,$8.60,20.08
2017-10-31,141.78,$8.29,17.11
2017-07-31,127.18,$7.56,16.82
2017-04-30,131.95,$7.42,17.79
2017-01-31,115.59,$6.65,17.39
2016-10-31,101.96,$6.75,15.1
2016-07-31,114.94,$7.11,16.17
2016-04-30,110.74,$6.45,17.17
2016-01-31,103.45,$6.17,16.77
2015-10-31,101.26,$6.09,16.63
2015-07-31,95.35,$5.70,16.73
2015-04-30,86.71,$5.79,14.97
2015-01-31,84.19,$5.09,16.55
2014-10-31,78.25,$4.80,16.31
2014-07-31,64.54,$5.00,12.91
2014-04-30,63.11,$4.43,14.25
2014-01-31,60.64,$4.41,13.74
2013-10-31,61.16,$4.33,14.13
2013-07-31,61.73,$4.18,14.76
2013-04-30,57.0,$1.93,29.48
2013-01-31,51.72,$0.61,84.65
2012-10-31,47.23,$0.45,104.72
2012-07-31,39.94,$1.28,31.32
2012-01-31,33.57,$3.49,9.61
2011-10-31,26.88,$3.84,6.99
2011-07-31,26.03,$4.72,5.51
2011-04-30,27.49,$3.58,7.67
2011-01-31,27.02,$3.07,8.79
2012-04-30,39.41,$3.52,11.18
2010-10-31,22.53,$2.09,10.77
2010-07-31,20.61,$2.54,8.13
2010-04-30,25.3,$2.73,9.28
2010-01-31,19.96,$2.56,7.79
2009-10-31,17.74,$4.79,3.71
