AvalonBay Communities Price to Free Cash Flow Ratio Historical Data,AvalonBay Communities Price to Free Cash Flow Ratio Historical Data,AvalonBay Communities Price to Free Cash Flow Ratio Historical Data,AvalonBay Communities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,203.89,,38.81
2024-03-31,185.56,$5.25,35.32
2023-12-31,185.5,$5.03,36.9
2023-09-30,168.7,$5.71,29.56
2023-06-30,184.14,$7.13,25.84
2023-03-31,162.09,$5.18,31.3
2022-12-31,154.22,$6.01,25.68
2022-09-30,174.16,$5.60,31.09
2022-06-30,182.08,$1.82,100.16
2022-03-31,230.93,$4.81,48.05
2021-12-31,233.38,$4.28,54.51
2021-09-30,202.05,$6.31,32.0
2021-06-30,190.25,$8.48,22.44
2021-03-31,166.94,$6.45,25.87
2020-12-31,143.93,$4.24,33.91
2020-09-30,132.65,$3.15,42.09
2020-06-30,135.89,$1.91,71.18
2019-12-31,180.49,$0.93,193.14
2019-09-30,183.99,$5.52,33.31
2019-06-30,172.39,$4.77,36.15
2019-03-31,169.03,$5.90,28.63
2018-12-31,145.47,$7.64,19.04
2020-03-31,128.0,$3.97,32.23
2018-09-30,150.12,$3.09,48.57
2018-06-30,141.28,$1.47,96.34
2018-03-31,134.02,$0.37,365.09
2017-12-31,144.1,$1.76,81.86
2017-09-30,142.97,$2.35,60.94
2017-06-30,152.77,$3.36,45.51
2017-03-31,144.89,$2.33,62.12
2016-12-31,138.73,$0.19,739.1
2016-09-30,138.2,$-0.22,0.0
2016-06-30,139.14,$-0.66,0.0
2016-03-31,145.61,$-0.97,0.0
2015-12-31,139.96,$-1.99,0.0
2015-09-30,132.0,$-2.76,0.0
2015-06-30,119.81,$-3.55,0.0
2015-03-31,129.59,$-2.86,0.0
2014-12-31,120.65,$-1.20,0.0
2014-09-30,103.38,$1.44,71.66
2014-06-30,103.42,$1.17,88.27
2014-03-31,94.74,$-0.08,0.0
2013-12-31,84.54,$-2.65,0.0
2013-09-30,90.06,$-6.18,0.0
2013-06-30,94.82,$-4.32,0.0
2012-12-31,93.76,$-4.05,0.0
2012-09-30,93.37,$3.39,27.57
2012-06-30,96.45,$0.23,425.07
2012-03-31,95.68,$-1.41,0.0
2011-12-31,87.79,$-1.38,0.0
2013-03-31,88.33,$-6.60,0.0
2011-09-30,76.14,$-1.90,0.0
2011-06-30,85.07,$-1.62,0.0
2011-03-31,79.0,$0.07,1070.53
2010-12-31,73.5,$0.93,78.66
2010-09-30,67.33,$2.21,30.51
2010-06-30,59.98,$2.90,20.71
2010-03-31,54.97,$1.02,53.83
2009-12-31,51.74,$-0.08,0.0
