Kraft Heinz Price to Free Cash Flow Ratio Historical Data,Kraft Heinz Price to Free Cash Flow Ratio Historical Data,Kraft Heinz Price to Free Cash Flow Ratio Historical Data,Kraft Heinz Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,32.95,,12.61
2024-03-31,36.48,$2.61,13.96
2023-12-31,36.14,$2.40,15.06
2023-09-30,32.5,$2.03,15.98
2023-06-30,33.89,$1.84,18.39
2023-03-31,36.53,$1.23,29.67
2022-12-31,38.06,$1.26,30.26
2022-09-30,30.86,$2.88,10.72
2022-06-30,34.93,$2.59,13.5
2022-03-31,35.69,$0.28,125.32
2021-12-31,32.19,$1.22,26.29
2021-09-30,32.64,$-0.15,0.0
2021-06-30,35.75,$1.24,28.85
2020-12-31,29.8,$3.53,8.45
2020-09-30,25.44,$4.18,6.08
2020-06-30,26.78,$3.88,6.91
2020-03-31,20.5,$3.78,5.42
2019-12-31,26.11,$4.91,5.31
2021-03-31,34.75,$3.16,11.0
2019-09-30,22.41,$3.90,5.74
2019-06-30,24.51,$2.87,8.54
2019-03-31,25.41,$1.34,18.92
2018-12-31,33.08,$1.45,22.84
2018-09-30,41.86,$0.44,95.32
2018-06-30,47.22,$-0.04,0.0
2018-03-31,46.32,$0.39,119.94
2017-12-31,57.29,$-0.56,0.0
2017-09-30,56.69,$0.22,252.76
2017-06-30,62.16,$-0.86,0.0
2017-03-31,65.47,$0.37,177.05
2016-12-31,62.55,$1.14,54.73
2016-09-30,63.65,$0.61,104.72
2016-06-30,62.49,$2.09,29.9
