Federal Realty Investment Trust Price to Free Cash Flow Ratio Historical Data,Federal Realty Investment Trust Price to Free Cash Flow Ratio Historical Data,Federal Realty Investment Trust Price to Free Cash Flow Ratio Historical Data,Federal Realty Investment Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,100.25,,32.23
2024-03-31,102.12,$3.11,32.83
2023-12-31,103.05,$2.99,34.44
2023-09-30,90.63,$2.05,44.21
2023-06-30,96.77,$1.87,51.77
2023-03-31,98.83,$1.61,61.44
2022-12-31,101.04,$1.02,99.16
2022-09-30,90.12,$1.20,75.09
2022-06-30,94.64,$0.59,159.55
2022-03-31,119.33,$0.22,542.64
2021-12-31,132.04,$0.40,331.27
2021-09-30,113.4,$0.02,4591.04
2021-06-30,111.59,$-0.28,0.0
2021-03-31,95.77,$-1.23,0.0
2020-12-31,79.58,$-1.92,0.0
2020-09-30,67.82,$-1.40,0.0
2020-06-30,77.57,$-1.26,0.0
2020-03-31,67.09,$0.05,1448.94
2019-12-31,114.61,$0.70,164.76
2019-09-30,120.23,$1.57,76.69
2019-06-30,112.83,$0.27,421.31
2019-03-31,119.88,$1.21,98.9
2018-12-31,101.88,$2.02,50.31
2018-09-30,109.15,$-0.60,0.0
2018-06-30,108.36,$2.22,48.72
2018-03-31,98.62,$0.50,196.34
2017-12-31,111.86,$-0.83,0.0
2017-09-30,103.83,$1.10,94.5
2017-06-30,104.81,$-1.00,0.0
2017-03-31,109.83,$-0.81,0.0
2016-12-31,116.02,$-0.14,0.0
2016-09-30,124.8,$0.30,422.91
2016-06-30,133.37,$1.38,96.56
2016-03-31,124.97,$1.54,81.15
2015-12-31,116.3,$1.25,92.72
2015-09-30,107.93,$1.01,106.84
2015-06-30,100.61,$0.23,435.0
2015-03-31,114.89,$0.09,1220.98
2014-12-31,103.55,$-0.22,0.0
2014-09-30,91.33,$-0.62,0.0
2014-06-30,92.55,$-0.18,0.0
2014-03-31,87.24,$-0.08,0.0
2013-12-31,76.57,$0.37,205.89
2013-09-30,76.02,$1.09,69.59
2013-06-30,77.11,$1.04,74.1
2013-03-31,79.78,$1.68,47.37
2012-12-31,76.28,$1.81,42.14
2012-09-30,76.68,$1.60,47.89
2012-06-30,75.28,$1.89,39.76
2012-03-31,69.53,$1.89,36.86
2011-12-31,64.72,$1.63,39.63
2011-09-30,58.33,$2.06,28.38
2011-06-30,59.81,$2.12,28.26
2011-03-31,56.83,$2.23,25.47
2010-12-31,53.85,$2.73,19.7
2010-09-30,55.95,$2.60,21.54
2010-06-30,47.75,$2.62,18.26
2010-03-31,49.03,$2.62,18.74
2009-12-31,45.19,$2.59,17.48
