Cognizant Technology Solutions Price to Free Cash Flow Ratio Historical Data,Cognizant Technology Solutions Price to Free Cash Flow Ratio Historical Data,Cognizant Technology Solutions Price to Free Cash Flow Ratio Historical Data,Cognizant Technology Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,68.34,,24.6
2024-03-31,72.97,$2.78,26.26
2023-12-31,74.91,$3.99,18.79
2023-09-30,66.91,$3.85,17.39
2023-06-30,64.21,$4.20,15.28
2023-03-31,59.66,$5.19,11.49
2022-12-31,55.75,$4.31,12.94
2022-09-30,55.74,$4.57,12.2
2022-06-30,65.24,$4.43,14.74
2022-03-31,86.35,$4.38,19.73
2021-12-31,85.16,$4.20,20.29
2021-09-30,71.03,$4.28,16.6
2021-06-30,66.08,$4.07,16.23
2021-03-31,74.28,$4.83,15.37
2020-12-31,77.68,$5.36,14.49
2020-09-30,65.61,$5.32,12.32
2020-06-30,53.52,$4.97,10.76
2020-03-31,43.59,$4.18,10.42
2019-12-31,57.99,$3.76,15.41
2019-09-30,56.17,$3.31,16.97
2019-06-30,58.89,$3.50,16.85
2019-03-31,67.09,$3.58,18.74
2018-12-31,58.62,$3.79,15.46
2018-09-30,71.04,$4.03,17.61
2018-06-30,72.54,$3.87,18.76
2018-03-31,73.73,$3.72,19.84
2017-12-31,64.89,$3.57,18.19
2017-09-30,66.14,$3.15,20.97
2017-06-30,60.41,$2.85,21.19
2017-03-31,54.03,$2.54,21.28
2016-12-31,50.86,$2.20,23.07
2016-09-30,43.31,$2.42,17.91
2016-06-30,51.96,$2.78,18.69
2016-03-31,56.92,$2.92,19.48
2015-12-31,54.48,$3.12,17.45
2015-09-30,56.81,$2.47,23.01
2015-06-30,55.45,$2.10,26.4
2015-03-31,56.63,$2.09,27.16
2014-12-31,47.8,$2.06,23.24
2014-09-30,40.64,$2.30,17.64
2014-06-30,44.4,$2.18,20.4
2014-03-31,45.93,$2.09,21.98
2013-12-31,45.83,$1.91,24.04
2013-09-30,37.27,$1.63,22.84
2013-06-30,28.43,$1.42,19.98
2013-03-31,34.78,$1.31,26.64
2012-12-31,33.53,$1.37,24.47
2012-09-30,31.72,$1.25,25.39
2012-06-30,27.23,$1.43,19.06
2012-03-31,34.93,$1.01,34.5
2011-12-31,29.19,$1.46,19.99
2011-09-30,28.46,$1.51,18.84
2011-03-31,36.95,$0.96,38.64
2010-12-31,33.26,$0.94,35.51
2010-09-30,29.26,$1.14,25.75
2010-06-30,22.72,$0.49,46.47
2010-03-31,23.14,$0.63,37.0
2009-12-31,20.57,$0.90,22.92
2011-06-30,33.29,$0.27,121.13
