Global Payments Price to Free Cash Flow Ratio Historical Data,Global Payments Price to Free Cash Flow Ratio Historical Data,Global Payments Price to Free Cash Flow Ratio Historical Data,Global Payments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,95.03,,17.38
2024-03-31,133.31,$5.47,24.38
2023-12-31,126.42,$6.08,20.8
2023-09-30,114.64,$6.20,18.49
2023-06-30,97.68,$5.96,16.4
2023-03-31,104.09,$5.89,17.66
2022-12-31,97.99,$5.91,16.58
2022-09-30,106.33,$5.95,17.88
2022-06-30,108.67,$7.93,13.71
2022-03-31,134.13,$7.74,17.32
2021-12-31,132.24,$7.79,16.98
2021-09-30,153.85,$7.94,19.38
2021-06-30,182.84,$6.75,27.09
2021-03-31,196.32,$2.53,77.52
2020-12-31,209.61,$-0.22,0.0
2020-09-30,172.62,$3.32,52.0
2020-06-30,164.69,$1.40,117.69
2019-12-31,176.84,$5.44,32.5
2019-09-30,153.84,$10.97,14.02
2019-06-30,154.93,$6.33,24.47
2019-03-31,132.08,$7.36,17.94
2018-12-31,99.77,$7.28,13.7
2020-03-31,139.88,$4.28,32.65
2018-09-30,123.23,$3.87,31.86
2018-06-30,107.83,$3.49,30.87
2018-03-31,107.85,$2.25,47.84
2017-12-31,96.94,$2.37,40.96
2017-09-30,91.89,$4.73,19.44
2017-06-30,87.33,$3.45,25.28
2017-03-31,77.99,$4.64,16.8
2016-12-31,67.09,$-2.54,0.0
2016-11-30,66.26,$0.72,92.53
2016-09-30,74.19,$1.13,65.42
2016-08-31,73.4,$3.94,18.61
2016-02-29,58.89,$7.35,8.01
2015-11-30,68.44,$3.21,21.35
2015-08-31,53.79,$5.81,9.26
2015-05-31,50.4,$1.43,35.26
2015-02-28,44.35,$1.84,24.11
2014-11-30,41.68,$1.43,29.16
2014-08-31,35.09,$2.25,15.63
2014-05-31,33.07,$2.55,12.98
2014-02-28,33.92,$3.47,9.78
2013-11-30,30.4,$2.55,11.93
2013-08-31,22.97,$-0.10,0.0
2013-05-31,23.11,$0.44,51.95
2013-02-28,23.22,$3.16,7.35
2012-11-30,21.14,$0.44,47.52
2012-08-31,20.04,$1.86,10.78
2012-05-31,20.43,$-2.21,0.0
2012-02-29,24.81,$-8.16,0.0
2011-11-30,21.25,$-2.21,0.0
2011-08-31,22.01,$-3.72,0.0
2011-05-31,24.94,$-0.70,0.0
2011-02-28,23.03,$1.66,13.88
2010-11-30,19.94,$-0.70,0.0
2010-08-31,18.04,$-0.37,0.0
2010-05-31,20.22,$4.65,4.35
2010-02-28,20.5,$4.85,4.23
2009-11-30,24.54,$4.65,5.28
2009-08-31,20.31,$5.46,3.72
2009-05-31,17.2,$-0.16,0.0
2009-02-28,14.67,$2.75,5.33
