Martin Marietta Materials Price to Free Cash Flow Ratio Historical Data,Martin Marietta Materials Price to Free Cash Flow Ratio Historical Data,Martin Marietta Materials Price to Free Cash Flow Ratio Historical Data,Martin Marietta Materials Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,544.13,,39.15
2024-03-31,613.94,$13.90,44.18
2023-12-31,498.29,$14.14,35.24
2023-09-30,409.31,$12.32,33.21
2023-06-30,459.62,$10.73,42.85
2023-03-31,352.88,$-3.47,0.0
2022-12-31,335.29,$0.82,409.84
2022-09-30,318.96,$0.37,851.93
2022-06-30,295.77,$-0.26,0.0
2021-12-31,433.94,$11.42,38.01
2021-09-30,336.06,$17.90,18.77
2021-06-30,345.48,$14.72,23.48
2021-03-31,329.26,$16.14,20.4
2020-12-31,277.95,$17.96,15.47
2022-03-31,379.75,$7.44,51.05
2020-09-30,229.88,$10.22,22.48
2020-06-30,201.19,$10.29,19.56
2020-03-31,183.78,$9.37,19.62
2019-12-31,270.93,$9.13,29.67
2019-09-30,265.02,$8.23,32.22
2019-06-30,222.0,$6.44,34.45
2019-03-31,193.65,$4.88,39.66
2018-12-31,165.03,$5.22,31.64
2018-09-30,174.27,$5.02,34.71
2018-06-30,213.38,$4.49,47.53
2018-03-31,197.68,$4.50,43.96
2017-12-31,210.33,$3.91,53.75
2017-09-30,195.82,$4.32,45.35
2017-06-30,210.91,$4.94,42.65
2017-03-31,206.42,$4.68,44.1
2016-12-31,209.12,$4.72,44.27
2016-09-30,168.76,$4.46,37.87
2016-06-30,180.5,$3.92,46.08
2016-03-31,149.64,$3.82,39.16
2015-12-31,127.77,$3.91,32.64
2015-09-30,141.8,$3.28,43.23
2015-06-30,131.74,$2.91,45.21
2015-03-31,129.8,$2.96,43.81
2014-12-31,102.14,$2.62,39.01
2014-09-30,119.0,$2.89,41.18
2014-06-30,121.5,$3.05,39.9
2014-03-31,117.72,$2.74,42.98
2013-12-31,91.36,$3.32,27.51
2013-09-30,89.38,$2.57,34.71
2013-06-30,89.23,$2.37,37.71
2013-03-31,92.16,$2.40,38.37
2012-12-31,84.81,$1.56,54.4
2012-09-30,74.21,$0.73,101.68
2012-06-30,70.21,$1.47,47.78
2012-03-31,75.82,$1.56,48.75
2011-12-31,66.47,$2.27,29.34
2011-09-30,55.42,$2.79,19.86
2011-06-30,69.71,$2.50,27.89
2011-03-31,77.79,$2.68,29.02
2010-12-31,79.66,$2.93,27.17
2010-09-30,66.16,$3.09,21.42
2010-06-30,72.51,$3.51,20.68
2010-03-31,71.11,$3.52,20.22
2009-12-31,75.72,$4.05,18.68
