Goldman Sachs Price to Free Cash Flow Ratio Historical Data,Goldman Sachs Price to Free Cash Flow Ratio Historical Data,Goldman Sachs Price to Free Cash Flow Ratio Historical Data,Goldman Sachs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,450.18,,0.0
2024-03-31,417.69,$-137.90,0.0
2023-12-31,383.09,$-145.39,0.0
2023-09-30,318.75,$-24.72,0.0
2023-06-30,315.09,$173.60,1.82
2022-12-31,330.5,$21.41,15.44
2022-09-30,280.24,$101.15,2.77
2022-06-30,281.92,$84.42,3.34
2022-03-31,311.41,$-147.22,0.0
2021-12-31,358.71,$-35.88,0.0
2023-03-31,317.11,$-42.73,0.0
2021-09-30,352.6,$-36.96,0.0
2021-06-30,352.29,$167.31,2.11
2021-03-31,302.51,$75.46,4.01
2020-12-31,243.04,$-60.71,0.0
2020-09-30,184.23,$40.27,4.57
2020-06-30,180.06,$-35.42,0.0
2020-03-31,139.96,$20.77,6.74
2019-12-31,206.88,$58.74,3.52
2019-09-30,185.41,$-39.84,0.0
2019-06-30,181.94,$-79.69,0.0
2019-03-31,169.96,$-80.30,0.0
2018-12-31,147.29,$31.50,4.68
2018-09-30,197.71,$-26.95,0.0
2018-06-30,193.83,$-4.32,0.0
2018-03-31,220.56,$-50.44,0.0
2017-12-31,222.46,$-56.46,0.0
2017-09-30,206.48,$-26.08,0.0
2017-06-30,192.51,$-43.07,0.0
2017-03-31,198.62,$-17.84,0.0
2016-12-31,206.49,$11.22,18.4
2016-09-30,138.64,$6.67,20.8
2016-06-30,127.25,$1.06,120.17
2015-12-31,153.06,$17.17,8.91
2015-09-30,147.06,$-13.64,0.0
2015-06-30,176.1,$-21.93,0.0
2015-03-31,158.05,$-23.61,0.0
2014-12-31,162.47,$-36.98,0.0
2016-03-31,133.89,$-34.37,0.0
2014-09-30,153.38,$-23.75,0.0
2014-06-30,139.47,$-11.28,0.0
2014-03-31,136.02,$10.24,13.28
2013-12-31,146.65,$7.80,18.79
2013-09-30,130.47,$4.62,28.22
2013-06-30,124.32,$15.10,8.23
2013-03-31,120.57,$5.29,22.81
2012-12-31,104.17,$23.19,4.49
2012-09-30,92.45,$57.75,1.6
2012-06-30,77.62,$35.74,2.17
2012-03-31,100.23,$42.04,2.38
2011-12-31,72.66,$38.42,1.89
2011-09-30,75.67,$-12.15,0.0
2011-06-30,106.19,$6.72,15.81
2011-03-31,126.23,$4.82,26.21
2010-12-31,133.55,$-11.13,0.0
2010-09-30,114.57,$51.27,2.23
2010-06-30,103.76,$61.59,1.68
2010-03-31,134.54,$66.88,2.01
2009-12-31,132.83,$86.04,1.54
