Thermo Fisher Scientific Price to Free Cash Flow Ratio Historical Data,Thermo Fisher Scientific Price to Free Cash Flow Ratio Historical Data,Thermo Fisher Scientific Price to Free Cash Flow Ratio Historical Data,Thermo Fisher Scientific Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,564.6,,28.62
2024-03-31,580.81,$19.73,29.44
2023-12-31,530.07,$18.08,29.32
2023-09-30,505.15,$16.99,29.73
2023-06-30,520.34,$14.97,34.76
2023-03-31,574.43,$14.36,40.01
2022-12-31,548.49,$17.60,31.16
2022-09-30,504.9,$14.23,35.48
2022-06-30,540.53,$16.06,33.65
2022-03-31,587.32,$17.70,33.19
2021-12-31,663.12,$17.15,38.66
2021-09-30,567.56,$19.93,28.48
2021-06-30,500.91,$20.45,24.5
2021-03-31,452.91,$20.25,22.37
2020-12-31,461.98,$17.10,27.02
2020-09-30,437.71,$14.29,30.64
2020-06-30,359.03,$10.66,33.67
2020-03-31,280.83,$9.27,30.29
2019-12-31,321.46,$10.13,31.73
2019-09-30,288.04,$9.89,29.13
2019-06-30,290.24,$10.24,28.35
2019-03-31,270.33,$10.67,25.35
2018-12-31,220.86,$9.45,23.38
2018-09-30,240.71,$9.78,24.61
2018-06-30,204.14,$9.20,22.2
2018-03-31,203.31,$8.03,25.33
2017-12-31,186.83,$8.80,21.22
2017-09-30,186.01,$7.34,25.35
2017-06-30,171.4,$7.16,23.95
2017-03-31,150.77,$7.27,20.74
2016-12-31,138.37,$7.15,19.34
2016-09-30,155.82,$7.51,20.74
2016-06-30,144.6,$7.29,19.83
2016-03-31,138.42,$6.92,20.01
2015-12-31,138.53,$6.31,21.95
2015-09-30,119.28,$5.31,22.47
2015-06-30,126.43,$5.17,24.45
2015-03-31,130.74,$5.53,23.64
2014-12-31,121.79,$5.57,21.86
2014-09-30,118.16,$5.26,22.45
2014-06-30,114.43,$5.04,22.72
2014-03-31,116.45,$4.13,28.19
2013-12-31,107.71,$4.78,22.53
2013-09-30,89.01,$4.53,19.64
2013-06-30,81.61,$4.43,18.42
2013-03-31,73.63,$4.51,16.34
2012-12-31,61.28,$4.74,12.93
2012-09-30,56.39,$4.67,12.08
2012-06-30,49.65,$4.33,11.47
2012-03-31,53.79,$3.92,13.71
2011-12-31,42.8,$3.74,11.45
2011-09-30,48.2,$3.17,15.2
2011-06-30,61.29,$3.33,18.43
2011-03-31,52.87,$3.08,17.18
2010-12-31,52.69,$3.08,17.09
2010-09-30,45.57,$3.31,13.79
2010-06-30,46.69,$3.19,14.64
2010-03-31,48.96,$3.46,14.16
2009-12-31,45.39,$3.48,13.03
