MarketAxess Holdings Price to Free Cash Flow Ratio Historical Data,MarketAxess Holdings Price to Free Cash Flow Ratio Historical Data,MarketAxess Holdings Price to Free Cash Flow Ratio Historical Data,MarketAxess Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,194.41,,27.66
2024-03-31,218.51,$7.03,31.09
2023-12-31,290.88,$7.47,38.93
2023-09-30,211.5,$7.15,29.58
2023-06-30,258.09,$7.40,34.86
2023-03-31,385.38,$7.13,54.06
2022-12-31,274.12,$6.31,43.47
2022-09-30,218.05,$6.75,32.29
2022-06-30,250.25,$6.13,40.83
2022-03-31,331.67,$6.09,54.44
2021-12-31,400.2,$6.08,65.87
2021-09-30,408.71,$8.22,49.73
2021-06-30,449.77,$5.33,84.39
2021-03-31,482.36,$5.61,86.03
2020-12-31,552.08,$9.41,58.68
2020-09-30,465.47,$5.77,80.63
2020-06-30,483.58,$8.89,54.41
2020-03-31,320.67,$8.02,39.97
2019-12-31,364.91,$6.09,59.9
2019-09-30,314.76,$5.52,56.98
2019-06-30,308.46,$5.51,55.97
2019-03-31,235.73,$4.92,47.89
2018-12-31,201.97,$4.66,43.36
2018-09-30,170.25,$4.20,40.56
2018-06-30,188.3,$3.93,47.94
2018-03-31,206.51,$3.81,54.19
2017-12-31,191.19,$3.75,51.04
2017-09-30,174.53,$4.12,42.38
2017-06-30,189.91,$4.17,45.49
2017-03-31,176.74,$4.05,43.66
2016-12-31,138.26,$1.89,73.23
2016-09-30,155.56,$1.68,92.51
2016-06-30,136.38,$1.21,112.47
2016-03-31,116.84,$1.17,99.54
2015-12-31,104.2,$2.90,35.94
2015-09-30,86.68,$2.73,31.77
2015-06-30,86.27,$2.67,32.31
2015-03-31,76.91,$2.53,30.4
2014-12-31,66.36,$2.51,26.42
2014-09-30,57.11,$1.91,29.87
2014-06-30,49.76,$2.00,24.92
2014-03-31,54.35,$1.72,31.51
2013-12-31,61.27,$1.78,34.34
2013-09-30,54.77,$2.08,26.28
2013-06-30,42.61,$1.80,23.61
2013-03-31,33.89,$1.80,18.8
2012-12-31,31.97,$1.88,16.97
2012-09-30,27.42,$1.62,16.97
2012-06-30,23.03,$1.66,13.89
2012-03-31,32.13,$1.77,18.11
2011-12-31,25.85,$1.47,17.58
2011-09-30,22.27,$1.58,14.08
2011-06-30,21.37,$1.42,15.1
2011-03-31,20.55,$1.54,13.33
2010-12-31,17.6,$1.46,12.05
2010-09-30,14.31,$1.33,10.79
2010-06-30,11.57,$1.31,8.85
2010-03-31,13.14,$0.96,13.73
2009-12-31,11.55,$0.96,12.05
