Monolithic Power Systems Price to Free Cash Flow Ratio Historical Data,Monolithic Power Systems Price to Free Cash Flow Ratio Historical Data,Monolithic Power Systems Price to Free Cash Flow Ratio Historical Data,Monolithic Power Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,826.17,,66.99
2024-03-31,677.42,$12.33,54.93
2023-12-31,629.61,$11.91,52.88
2023-09-30,460.42,$9.85,46.72
2023-06-30,537.19,$6.28,85.57
2023-03-31,496.79,$3.49,142.41
2022-12-31,350.26,$-0.61,0.0
2022-09-30,359.2,$0.65,555.0
2022-06-30,378.82,$2.38,158.85
2021-12-31,484.95,$4.71,102.95
2021-09-30,475.87,$7.34,64.87
2021-06-30,366.21,$6.94,52.79
2021-03-31,345.81,$6.96,49.71
2020-12-31,357.93,$6.69,53.48
2022-03-31,478.16,$4.74,100.95
2020-09-30,272.89,$4.21,64.78
2020-06-30,230.89,$4.53,50.98
2020-03-31,162.79,$4.12,39.47
2019-12-31,172.53,$2.84,60.85
2019-09-30,150.49,$2.66,56.59
2019-06-30,130.97,$2.17,60.43
2019-03-31,130.29,$0.71,184.81
2018-12-31,111.46,$1.39,79.97
2018-09-30,120.04,$1.09,109.9
2018-06-30,127.52,$0.22,580.19
2017-12-31,106.67,$1.56,68.31
2017-09-30,100.98,$2.76,36.61
2017-06-30,91.19,$2.29,39.81
2017-03-31,86.95,$2.65,32.82
2016-12-31,77.18,$2.26,34.13
2018-03-31,110.2,$1.34,82.2
2016-09-30,75.65,$1.55,48.7
2016-06-30,64.04,$1.52,42.22
2016-03-31,59.47,$1.62,36.78
2015-12-31,59.35,$1.32,44.87
2015-09-30,47.55,$1.38,34.49
2015-06-30,46.9,$1.24,37.97
2015-03-31,48.51,$1.71,28.45
2014-12-31,45.66,$1.62,28.11
2014-09-30,40.31,$1.94,20.78
2014-06-30,38.63,$1.67,23.19
2014-03-31,35.24,$1.27,27.79
2013-12-31,31.5,$1.17,27.03
2013-09-30,27.52,$0.63,43.6
2013-06-30,21.91,$0.43,51.01
2013-03-31,22.15,$0.16,142.34
2012-12-31,20.25,$0.11,189.78
2012-09-30,17.15,$0.16,106.93
2012-06-30,17.24,$0.15,111.36
2012-03-31,17.08,$0.54,31.69
2011-12-31,13.09,$0.64,20.3
2011-09-30,8.84,$0.50,17.76
2011-06-30,13.39,$0.88,15.14
2011-03-31,12.32,$0.70,17.61
2010-12-31,14.35,$0.68,21.1
2010-09-30,14.18,$0.89,15.86
2010-06-30,15.51,$0.63,24.75
2010-03-31,19.37,$0.73,26.47
2009-12-31,20.82,$0.60,34.97
