Transdigm Group Price to Free Cash Flow Ratio Historical Data,Transdigm Group Price to Free Cash Flow Ratio Historical Data,Transdigm Group Price to Free Cash Flow Ratio Historical Data,Transdigm Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,1321.09,,48.22
2024-03-31,1231.6,$27.40,44.95
2023-12-31,1011.6,$25.95,38.99
2023-09-30,813.4,$21.61,37.64
2023-06-30,862.64,$18.27,47.22
2023-03-31,711.06,$16.72,42.52
2022-12-31,607.45,$16.01,37.93
2022-09-30,506.31,$14.24,35.55
2022-06-30,503.54,$14.68,34.31
2022-03-31,611.31,$13.74,44.49
2021-12-31,597.0,$13.68,43.63
2021-09-30,586.01,$13.84,42.36
2021-06-30,607.33,$12.44,48.82
2021-03-31,551.62,$15.20,36.29
2020-12-31,580.64,$16.71,34.76
2020-09-30,445.79,$19.34,23.05
2020-06-30,414.76,$20.21,20.52
2020-03-31,300.42,$18.43,16.3
2019-12-31,525.43,$17.85,29.43
2019-09-30,461.91,$16.22,28.48
2019-06-30,405.62,$17.76,22.84
2019-03-31,380.63,$16.73,22.75
2018-12-31,285.11,$17.51,16.28
2018-09-30,312.14,$17.07,18.29
2018-06-30,289.37,$15.35,18.85
2018-03-31,257.34,$14.23,18.08
2017-12-31,230.25,$14.31,16.09
2017-09-30,214.34,$12.92,16.58
2017-06-30,207.88,$12.39,16.78
2017-03-31,170.22,$12.97,13.12
2016-12-31,192.49,$12.03,16.0
2016-09-30,204.66,$11.38,17.98
2016-06-30,186.66,$10.45,17.87
2016-03-31,155.97,$10.12,15.41
2015-12-31,161.71,$8.00,20.2
2015-09-30,150.36,$8.23,18.26
2015-06-30,159.04,$8.83,18.02
2015-03-31,154.82,$7.88,19.64
2014-12-31,138.99,$10.20,13.62
2014-09-30,130.48,$8.90,14.67
2014-06-30,118.4,$9.38,12.62
2014-03-31,114.09,$8.41,13.57
2013-12-31,99.19,$8.14,12.19
2013-09-30,85.44,$7.89,10.83
2013-06-30,83.59,$7.19,11.62
2013-03-31,81.54,$7.64,10.67
2012-12-31,72.71,$7.68,9.47
2012-09-30,68.9,$7.21,9.55
2012-06-30,65.23,$6.58,9.92
2012-03-31,56.22,$5.17,10.87
2011-12-31,46.47,$2.18,21.3
2011-09-30,39.66,$1.80,22.07
2011-06-30,44.29,$1.00,44.3
2011-03-31,40.71,$1.20,33.84
2010-09-30,30.14,$3.54,8.52
2010-06-30,24.78,$5.14,4.82
2010-03-31,25.76,$4.95,5.2
2009-12-31,23.06,$5.44,4.24
2009-09-30,20.64,$5.79,3.56
