Westinghouse Air Brake Technologies Price to Free Cash Flow Ratio Historical Data,Westinghouse Air Brake Technologies Price to Free Cash Flow Ratio Historical Data,Westinghouse Air Brake Technologies Price to Free Cash Flow Ratio Historical Data,Westinghouse Air Brake Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,161.03,,20.75
2024-03-31,145.51,$7.76,18.75
2023-12-31,126.57,$5.67,22.34
2023-09-30,105.84,$4.13,25.61
2023-06-30,109.06,$2.93,37.22
2023-03-31,100.32,$3.79,26.46
2022-12-31,98.91,$4.88,20.27
2022-09-30,80.5,$4.49,17.91
2022-06-30,81.1,$4.73,17.14
2022-03-31,94.85,$4.48,21.15
2021-12-31,90.7,$5.15,17.63
2021-09-30,84.79,$5.19,16.34
2021-06-30,80.83,$5.09,15.87
2021-03-31,77.64,$5.52,14.07
2020-12-31,71.68,$3.51,20.4
2020-09-30,60.49,$4.30,14.07
2020-06-30,56.18,$3.59,15.64
2020-03-31,46.87,$4.12,11.39
2019-12-31,75.64,$4.70,16.08
2019-09-30,69.76,$4.98,14.0
2019-06-30,69.55,$4.04,17.22
2019-03-31,71.33,$2.28,31.29
2018-12-31,67.86,$2.41,28.14
2018-09-30,101.17,$1.21,83.67
2018-06-30,94.99,$1.97,48.29
2018-03-31,78.34,$1.67,46.94
2017-12-31,78.23,$1.05,74.74
2017-09-30,72.66,$1.67,43.47
2017-06-30,87.63,$1.71,51.36
2017-03-31,74.61,$3.20,23.33
2016-12-31,79.31,$4.40,18.04
2016-09-30,77.91,$4.26,18.31
2016-06-30,66.92,$5.38,12.43
2016-03-31,75.48,$4.52,16.69
2015-12-31,67.62,$4.16,16.27
2015-09-30,83.63,$4.62,18.11
2015-06-30,89.43,$4.08,21.9
2015-03-31,90.11,$4.53,19.89
2014-12-31,82.35,$4.39,18.77
2014-09-30,76.76,$3.43,22.37
2014-06-30,78.17,$2.93,26.7
2014-03-31,73.31,$2.02,36.34
2013-12-31,70.22,$2.07,33.93
2013-09-30,59.4,$1.86,31.98
2013-06-30,50.45,$2.32,21.75
2013-03-31,48.19,$2.46,19.6
2012-12-31,41.29,$2.09,19.73
2012-09-30,37.85,$2.31,16.39
2012-06-30,36.75,$1.78,20.64
2012-03-31,35.49,$2.00,17.77
2011-12-31,32.92,$2.19,15.06
2011-09-30,24.87,$1.77,14.02
2011-06-30,30.9,$1.99,15.51
2011-03-31,31.89,$1.62,19.63
2010-12-31,24.86,$1.62,15.33
2010-09-30,22.46,$1.30,17.26
2010-06-30,18.74,$1.38,13.57
2010-03-31,19.79,$1.69,11.69
2009-12-31,19.18,$1.54,12.43
