Sector,Industry,Market Cap,Revenue
Consumer Discretionary,Cable TV Providers,$39.098B,$54.607B
"Charter Communications is the second largest cable operator in the United States and a leading broadband communications company providing video, Internet and voice services. Charter also sells video and online advertising to local, regional and national advertising customers and fiber-delivered communications and managed information technology solutions to large enterprise customers. The company also own and operate regional sports networks and local sports, news and community channels and sell security and home management services in the residential marketplace.","Charter Communications is the second largest cable operator in the United States and a leading broadband communications company providing video, Internet and voice services. Charter also sells video and online advertising to local, regional and national advertising customers and fiber-delivered communications and managed information technology solutions to large enterprise customers. The company also own and operate regional sports networks and local sports, news and community channels and sell security and home management services in the residential marketplace.","Charter Communications is the second largest cable operator in the United States and a leading broadband communications company providing video, Internet and voice services. Charter also sells video and online advertising to local, regional and national advertising customers and fiber-delivered communications and managed information technology solutions to large enterprise customers. The company also own and operate regional sports networks and local sports, news and community channels and sell security and home management services in the residential marketplace.","Charter Communications is the second largest cable operator in the United States and a leading broadband communications company providing video, Internet and voice services. Charter also sells video and online advertising to local, regional and national advertising customers and fiber-delivered communications and managed information technology solutions to large enterprise customers. The company also own and operate regional sports networks and local sports, news and community channels and sell security and home management services in the residential marketplace."
