Sector,Industry,Market Cap,Revenue
Transportation,Transportation - Rail,$66.037B,$14.657B
"CSX Corporation is one of United States' leading transportation companies. The company offers rail-based freight transportation services like traditional rail service, transport of intermodal containers and trailers apart from rail-to- truck transfers. CSX offers customers access to a large and interconnected transportation network. CSX Transportation is the company's primary operating subsidiary. Through the subsidiary, the company provides an important link to the transportation supply chain through its rail network, spanning across approximately 19,500 route miles. CSXT also offers service to multiple production and distribution facilities apart from managing activities like real estate sales. CSX owns multiple locomotives. Freight, switching and auxiliary units are present in the locomotive fleet. CSX also leases locomotives on a short-term basis.","CSX Corporation is one of United States' leading transportation companies. The company offers rail-based freight transportation services like traditional rail service, transport of intermodal containers and trailers apart from rail-to- truck transfers. CSX offers customers access to a large and interconnected transportation network. CSX Transportation is the company's primary operating subsidiary. Through the subsidiary, the company provides an important link to the transportation supply chain through its rail network, spanning across approximately 19,500 route miles. CSXT also offers service to multiple production and distribution facilities apart from managing activities like real estate sales. CSX owns multiple locomotives. Freight, switching and auxiliary units are present in the locomotive fleet. CSX also leases locomotives on a short-term basis.","CSX Corporation is one of United States' leading transportation companies. The company offers rail-based freight transportation services like traditional rail service, transport of intermodal containers and trailers apart from rail-to- truck transfers. CSX offers customers access to a large and interconnected transportation network. CSX Transportation is the company's primary operating subsidiary. Through the subsidiary, the company provides an important link to the transportation supply chain through its rail network, spanning across approximately 19,500 route miles. CSXT also offers service to multiple production and distribution facilities apart from managing activities like real estate sales. CSX owns multiple locomotives. Freight, switching and auxiliary units are present in the locomotive fleet. CSX also leases locomotives on a short-term basis.","CSX Corporation is one of United States' leading transportation companies. The company offers rail-based freight transportation services like traditional rail service, transport of intermodal containers and trailers apart from rail-to- truck transfers. CSX offers customers access to a large and interconnected transportation network. CSX Transportation is the company's primary operating subsidiary. Through the subsidiary, the company provides an important link to the transportation supply chain through its rail network, spanning across approximately 19,500 route miles. CSXT also offers service to multiple production and distribution facilities apart from managing activities like real estate sales. CSX owns multiple locomotives. Freight, switching and auxiliary units are present in the locomotive fleet. CSX also leases locomotives on a short-term basis."
