Sector,Industry,Market Cap,Revenue
Retail/Wholesale,Retail - Discount & Variety,$47.855B,$20.377B
"Ross Stores Inc. operates as an off-price retailer of apparel and home accessories, primarily in the United States. The company operates its stores under the Ross Dress for Less (Ross) and dd's DISCOUNTS names. The company's stores are located mostly in community and neighborhood shopping centers in heavily populated urban and suburban areas. Ross Stores primarily offers in-season, branded, and designer apparel, footwear, accessories and other home-related merchandise for everyone in the family. This format primarily targets middle-income households. Prices offered at Ross are generally 20% to 60% below the regular prices of most department and specialty stores. dd's DISCOUNTS features more moderately-priced first-quality, in-season, name brand apparel, accessories, footwear, and home fashions for the entire family. These stores target moderate-income households. The dd's DISCOUNTS stores offer products at a 20% to 70% lesser price than the moderate department and discount stores.","Ross Stores Inc. operates as an off-price retailer of apparel and home accessories, primarily in the United States. The company operates its stores under the Ross Dress for Less (Ross) and dd's DISCOUNTS names. The company's stores are located mostly in community and neighborhood shopping centers in heavily populated urban and suburban areas. Ross Stores primarily offers in-season, branded, and designer apparel, footwear, accessories and other home-related merchandise for everyone in the family. This format primarily targets middle-income households. Prices offered at Ross are generally 20% to 60% below the regular prices of most department and specialty stores. dd's DISCOUNTS features more moderately-priced first-quality, in-season, name brand apparel, accessories, footwear, and home fashions for the entire family. These stores target moderate-income households. The dd's DISCOUNTS stores offer products at a 20% to 70% lesser price than the moderate department and discount stores.","Ross Stores Inc. operates as an off-price retailer of apparel and home accessories, primarily in the United States. The company operates its stores under the Ross Dress for Less (Ross) and dd's DISCOUNTS names. The company's stores are located mostly in community and neighborhood shopping centers in heavily populated urban and suburban areas. Ross Stores primarily offers in-season, branded, and designer apparel, footwear, accessories and other home-related merchandise for everyone in the family. This format primarily targets middle-income households. Prices offered at Ross are generally 20% to 60% below the regular prices of most department and specialty stores. dd's DISCOUNTS features more moderately-priced first-quality, in-season, name brand apparel, accessories, footwear, and home fashions for the entire family. These stores target moderate-income households. The dd's DISCOUNTS stores offer products at a 20% to 70% lesser price than the moderate department and discount stores.","Ross Stores Inc. operates as an off-price retailer of apparel and home accessories, primarily in the United States. The company operates its stores under the Ross Dress for Less (Ross) and dd's DISCOUNTS names. The company's stores are located mostly in community and neighborhood shopping centers in heavily populated urban and suburban areas. Ross Stores primarily offers in-season, branded, and designer apparel, footwear, accessories and other home-related merchandise for everyone in the family. This format primarily targets middle-income households. Prices offered at Ross are generally 20% to 60% below the regular prices of most department and specialty stores. dd's DISCOUNTS features more moderately-priced first-quality, in-season, name brand apparel, accessories, footwear, and home fashions for the entire family. These stores target moderate-income households. The dd's DISCOUNTS stores offer products at a 20% to 70% lesser price than the moderate department and discount stores."
