Sector,Industry,Market Cap,Revenue
Transportation,Transportation - Truck,$37.603B,$5.866B
"Old Dominion Freight Line, Inc. is one of the largest North American less-than-truckload (`LTL`) motor carriers and provides regional, inter-regional and national LTL services through a single integrated, union-free organization. Their service offerings, which include expedited transportation, are provided through an expansive network of service centers located throughout the continental United States. The Company also maintains strategic alliances with other carriers to provide LTL services throughout North America. In addition to its core LTL services, the Company offers a range of value-added services including container drayage, truckload brokerage and supply chain consulting.","Old Dominion Freight Line, Inc. is one of the largest North American less-than-truckload (`LTL`) motor carriers and provides regional, inter-regional and national LTL services through a single integrated, union-free organization. Their service offerings, which include expedited transportation, are provided through an expansive network of service centers located throughout the continental United States. The Company also maintains strategic alliances with other carriers to provide LTL services throughout North America. In addition to its core LTL services, the Company offers a range of value-added services including container drayage, truckload brokerage and supply chain consulting.","Old Dominion Freight Line, Inc. is one of the largest North American less-than-truckload (`LTL`) motor carriers and provides regional, inter-regional and national LTL services through a single integrated, union-free organization. Their service offerings, which include expedited transportation, are provided through an expansive network of service centers located throughout the continental United States. The Company also maintains strategic alliances with other carriers to provide LTL services throughout North America. In addition to its core LTL services, the Company offers a range of value-added services including container drayage, truckload brokerage and supply chain consulting.","Old Dominion Freight Line, Inc. is one of the largest North American less-than-truckload (`LTL`) motor carriers and provides regional, inter-regional and national LTL services through a single integrated, union-free organization. Their service offerings, which include expedited transportation, are provided through an expansive network of service centers located throughout the continental United States. The Company also maintains strategic alliances with other carriers to provide LTL services throughout North America. In addition to its core LTL services, the Company offers a range of value-added services including container drayage, truckload brokerage and supply chain consulting."
