Sector,Industry,Market Cap,Revenue
Consumer Staples,Food Items - Miscellaneous/Diversified,$43.533B,$26.640B
"The Kraft Heinz Company manufactures and markets food and beverage products in the United States, Canada, the United Kingdom, and internationally. Its products include condiments and sauces, cheese and dairy products, meals, meats, refreshment beverages, coffee and other grocery products. The Kraft Heinz Company, formerly known as H.J. Heinz Holding Corporation, is based in Pittsburgh, Pennsylvania.","The Kraft Heinz Company manufactures and markets food and beverage products in the United States, Canada, the United Kingdom, and internationally. Its products include condiments and sauces, cheese and dairy products, meals, meats, refreshment beverages, coffee and other grocery products. The Kraft Heinz Company, formerly known as H.J. Heinz Holding Corporation, is based in Pittsburgh, Pennsylvania.","The Kraft Heinz Company manufactures and markets food and beverage products in the United States, Canada, the United Kingdom, and internationally. Its products include condiments and sauces, cheese and dairy products, meals, meats, refreshment beverages, coffee and other grocery products. The Kraft Heinz Company, formerly known as H.J. Heinz Holding Corporation, is based in Pittsburgh, Pennsylvania.","The Kraft Heinz Company manufactures and markets food and beverage products in the United States, Canada, the United Kingdom, and internationally. Its products include condiments and sauces, cheese and dairy products, meals, meats, refreshment beverages, coffee and other grocery products. The Kraft Heinz Company, formerly known as H.J. Heinz Holding Corporation, is based in Pittsburgh, Pennsylvania."
