Sector,Industry,Market Cap,Revenue
Consumer Discretionary,Textile - Apparel Manufacturing,$38.181B,$9.619B
"lululemon athletica inc. designs, manufactures and distributes athletic apparel and accessories for women, men and female youth. The company offers a line of apparel assortment, including fitness pants, shorts, tops and jackets designed for healthy lifestyle and athletic pursuits, such as yoga, training, and running as well as other sweaty and general fitness under the lululemon athletica brand name. Its fitness-related items comprise an array of accessories like bags, socks, underwear, yoga mats, instructional yoga DVDs, water bottles and other equipments. The company sells its products primarily in North America through a chain of corporate-owned and retail stores, outlets and warehouse sales, independent franchises, and a network of wholesale accounts. The company has an e-commerce site with an aim to rapidly expand its online business.","lululemon athletica inc. designs, manufactures and distributes athletic apparel and accessories for women, men and female youth. The company offers a line of apparel assortment, including fitness pants, shorts, tops and jackets designed for healthy lifestyle and athletic pursuits, such as yoga, training, and running as well as other sweaty and general fitness under the lululemon athletica brand name. Its fitness-related items comprise an array of accessories like bags, socks, underwear, yoga mats, instructional yoga DVDs, water bottles and other equipments. The company sells its products primarily in North America through a chain of corporate-owned and retail stores, outlets and warehouse sales, independent franchises, and a network of wholesale accounts. The company has an e-commerce site with an aim to rapidly expand its online business.","lululemon athletica inc. designs, manufactures and distributes athletic apparel and accessories for women, men and female youth. The company offers a line of apparel assortment, including fitness pants, shorts, tops and jackets designed for healthy lifestyle and athletic pursuits, such as yoga, training, and running as well as other sweaty and general fitness under the lululemon athletica brand name. Its fitness-related items comprise an array of accessories like bags, socks, underwear, yoga mats, instructional yoga DVDs, water bottles and other equipments. The company sells its products primarily in North America through a chain of corporate-owned and retail stores, outlets and warehouse sales, independent franchises, and a network of wholesale accounts. The company has an e-commerce site with an aim to rapidly expand its online business.","lululemon athletica inc. designs, manufactures and distributes athletic apparel and accessories for women, men and female youth. The company offers a line of apparel assortment, including fitness pants, shorts, tops and jackets designed for healthy lifestyle and athletic pursuits, such as yoga, training, and running as well as other sweaty and general fitness under the lululemon athletica brand name. Its fitness-related items comprise an array of accessories like bags, socks, underwear, yoga mats, instructional yoga DVDs, water bottles and other equipments. The company sells its products primarily in North America through a chain of corporate-owned and retail stores, outlets and warehouse sales, independent franchises, and a network of wholesale accounts. The company has an e-commerce site with an aim to rapidly expand its online business."
