Sector,Industry,Market Cap,Revenue
Computer and Technology,Wireless Equipment Manufacturers,$234.762B,$35.820B
"Qualcomm Inc. designs, manufactures and markets digital wireless telecom products and services based on the Code Division Multiple Access (CDMA) technology. The products include CDMA-based integrated circuits and system software for wireless voice and data communications as well as global positioning system (GPS) products. Qualcomm's business is organized into two reporting segments as follows: Qualcomm CDMA Technologies (QCT) and Qualcomm Technology Licensing. QCT reports operating results for sales of CDMA-based integrated circuit devices (chips) and system software for wireless voice and data communications, as well as GPS products. QCT's integrated circuit products are used mainly in mobile phones, wireless data access cards and infrastructure equipment. QTL reports revenues received from licenses to the intellectual property portfolio, which comprises various patent rights used in the manufacture and sale of wireless products, including Wideband Code Division Multiple Access technology solutions.","Qualcomm Inc. designs, manufactures and markets digital wireless telecom products and services based on the Code Division Multiple Access (CDMA) technology. The products include CDMA-based integrated circuits and system software for wireless voice and data communications as well as global positioning system (GPS) products. Qualcomm's business is organized into two reporting segments as follows: Qualcomm CDMA Technologies (QCT) and Qualcomm Technology Licensing. QCT reports operating results for sales of CDMA-based integrated circuit devices (chips) and system software for wireless voice and data communications, as well as GPS products. QCT's integrated circuit products are used mainly in mobile phones, wireless data access cards and infrastructure equipment. QTL reports revenues received from licenses to the intellectual property portfolio, which comprises various patent rights used in the manufacture and sale of wireless products, including Wideband Code Division Multiple Access technology solutions.","Qualcomm Inc. designs, manufactures and markets digital wireless telecom products and services based on the Code Division Multiple Access (CDMA) technology. The products include CDMA-based integrated circuits and system software for wireless voice and data communications as well as global positioning system (GPS) products. Qualcomm's business is organized into two reporting segments as follows: Qualcomm CDMA Technologies (QCT) and Qualcomm Technology Licensing. QCT reports operating results for sales of CDMA-based integrated circuit devices (chips) and system software for wireless voice and data communications, as well as GPS products. QCT's integrated circuit products are used mainly in mobile phones, wireless data access cards and infrastructure equipment. QTL reports revenues received from licenses to the intellectual property portfolio, which comprises various patent rights used in the manufacture and sale of wireless products, including Wideband Code Division Multiple Access technology solutions.","Qualcomm Inc. designs, manufactures and markets digital wireless telecom products and services based on the Code Division Multiple Access (CDMA) technology. The products include CDMA-based integrated circuits and system software for wireless voice and data communications as well as global positioning system (GPS) products. Qualcomm's business is organized into two reporting segments as follows: Qualcomm CDMA Technologies (QCT) and Qualcomm Technology Licensing. QCT reports operating results for sales of CDMA-based integrated circuit devices (chips) and system software for wireless voice and data communications, as well as GPS products. QCT's integrated circuit products are used mainly in mobile phones, wireless data access cards and infrastructure equipment. QTL reports revenues received from licenses to the intellectual property portfolio, which comprises various patent rights used in the manufacture and sale of wireless products, including Wideband Code Division Multiple Access technology solutions."
