Sector,Industry,Market Cap,Revenue
Computer and Technology,Internet Services,$46.138B,$8.635B
"DoorDash, Inc. provides restaurant food delivery services. The Company develops technology to connect customers with merchants through an on-demand food delivery application. DoorDash, Inc. is based in San Francisco, United States.","DoorDash, Inc. provides restaurant food delivery services. The Company develops technology to connect customers with merchants through an on-demand food delivery application. DoorDash, Inc. is based in San Francisco, United States.","DoorDash, Inc. provides restaurant food delivery services. The Company develops technology to connect customers with merchants through an on-demand food delivery application. DoorDash, Inc. is based in San Francisco, United States.","DoorDash, Inc. provides restaurant food delivery services. The Company develops technology to connect customers with merchants through an on-demand food delivery application. DoorDash, Inc. is based in San Francisco, United States."
