Sector,Industry,Market Cap,Revenue
Basic Materials,Chemicals - Specialty,$209.368B,$32.854B
"New Linde plc. is an industrial gases and engineering company. It serves chemicals & energy, food & beverage, electronics, healthcare, manufacturing, metals and mining market. New Linde plc., formerly known as LINDE PLC, is based in WOKING, UK.","New Linde plc. is an industrial gases and engineering company. It serves chemicals & energy, food & beverage, electronics, healthcare, manufacturing, metals and mining market. New Linde plc., formerly known as LINDE PLC, is based in WOKING, UK.","New Linde plc. is an industrial gases and engineering company. It serves chemicals & energy, food & beverage, electronics, healthcare, manufacturing, metals and mining market. New Linde plc., formerly known as LINDE PLC, is based in WOKING, UK.","New Linde plc. is an industrial gases and engineering company. It serves chemicals & energy, food & beverage, electronics, healthcare, manufacturing, metals and mining market. New Linde plc., formerly known as LINDE PLC, is based in WOKING, UK."
