Sector,Industry,Market Cap,Revenue
Retail/Wholesale,Retail - Food & Restaurants,$89.336B,$35.976B
"Starbucks Corp. is a roaster and retailer of specialty coffee globally. Besides its fresh, rich-brewed coffees, the company's offerings include many complimentary food items and a selection of premium teas and other beverages, sold mainly through the company's retail stores. The company's popular brands include Starbucks coffee, Teavana tea, Seattle's Best Coffee, La Boulange bakery products and Evolution Fresh juices. Other than the company's own retail stores, it generates revenues through licensed stores, consumer packaged goods and foodservice operations. The company receives royalties and license fees from the U.S. and international licensed stores. Under its consumer packaged goods operations, Starbucks sells packed coffee and tea products as well as a variety of ready-to-drink beverages and single-serve coffee and tea products to grocery, warehouse clubs and specialty retail stores. The company's latest reportable operating segments comprise North America, International and Channel Development.","Starbucks Corp. is a roaster and retailer of specialty coffee globally. Besides its fresh, rich-brewed coffees, the company's offerings include many complimentary food items and a selection of premium teas and other beverages, sold mainly through the company's retail stores. The company's popular brands include Starbucks coffee, Teavana tea, Seattle's Best Coffee, La Boulange bakery products and Evolution Fresh juices. Other than the company's own retail stores, it generates revenues through licensed stores, consumer packaged goods and foodservice operations. The company receives royalties and license fees from the U.S. and international licensed stores. Under its consumer packaged goods operations, Starbucks sells packed coffee and tea products as well as a variety of ready-to-drink beverages and single-serve coffee and tea products to grocery, warehouse clubs and specialty retail stores. The company's latest reportable operating segments comprise North America, International and Channel Development.","Starbucks Corp. is a roaster and retailer of specialty coffee globally. Besides its fresh, rich-brewed coffees, the company's offerings include many complimentary food items and a selection of premium teas and other beverages, sold mainly through the company's retail stores. The company's popular brands include Starbucks coffee, Teavana tea, Seattle's Best Coffee, La Boulange bakery products and Evolution Fresh juices. Other than the company's own retail stores, it generates revenues through licensed stores, consumer packaged goods and foodservice operations. The company receives royalties and license fees from the U.S. and international licensed stores. Under its consumer packaged goods operations, Starbucks sells packed coffee and tea products as well as a variety of ready-to-drink beverages and single-serve coffee and tea products to grocery, warehouse clubs and specialty retail stores. The company's latest reportable operating segments comprise North America, International and Channel Development.","Starbucks Corp. is a roaster and retailer of specialty coffee globally. Besides its fresh, rich-brewed coffees, the company's offerings include many complimentary food items and a selection of premium teas and other beverages, sold mainly through the company's retail stores. The company's popular brands include Starbucks coffee, Teavana tea, Seattle's Best Coffee, La Boulange bakery products and Evolution Fresh juices. Other than the company's own retail stores, it generates revenues through licensed stores, consumer packaged goods and foodservice operations. The company receives royalties and license fees from the U.S. and international licensed stores. Under its consumer packaged goods operations, Starbucks sells packed coffee and tea products as well as a variety of ready-to-drink beverages and single-serve coffee and tea products to grocery, warehouse clubs and specialty retail stores. The company's latest reportable operating segments comprise North America, International and Channel Development."
