Regeneron Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Regeneron Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Regeneron Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Regeneron Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,1053.14,,29.56
2024-03-31,962.49,$35.63,27.01
2023-12-31,878.29,$34.08,25.77
2023-09-30,822.96,$40.44,20.35
2023-06-30,718.54,$36.62,19.62
2023-03-31,821.67,$32.09,25.61
2022-12-31,721.49,$38.99,18.51
2022-09-30,688.87,$45.67,15.08
2022-06-30,591.13,$69.68,8.48
2022-03-31,698.42,$70.52,9.9
2021-12-31,631.52,$58.19,10.85
2021-09-30,605.18,$47.06,12.86
2021-06-30,558.54,$15.34,36.42
2021-03-31,473.14,$17.83,26.54
2020-12-31,483.11,$17.41,27.75
2020-09-30,559.78,$13.82,40.52
2020-06-30,623.65,$20.84,29.93
2020-03-31,488.29,$14.92,32.73
2019-12-31,375.48,$17.46,21.51
2019-09-30,277.4,$17.47,15.88
2019-06-30,313.0,$16.60,18.85
2019-03-31,410.62,$13.98,29.37
2018-12-31,373.5,$10.87,34.36
2018-09-30,404.04,$8.26,48.92
2018-06-30,344.99,$4.53,76.23
2017-12-31,375.96,$8.93,42.12
2017-09-30,447.12,$8.60,52.02
2017-06-30,491.14,$10.27,47.83
2017-03-31,387.51,$15.60,24.85
2016-12-31,367.09,$15.19,24.16
2018-03-31,344.36,$11.00,31.31
2016-09-30,402.02,$7.23,55.57
2016-06-30,349.23,$9.12,38.3
2016-03-31,360.44,$7.03,51.25
2015-12-31,542.87,$5.67,95.82
2015-09-30,465.14,$5.55,83.87
2015-06-30,510.13,$-0.27,0.0
2015-03-31,451.48,$1.91,235.92
2014-12-31,410.25,$3.70,110.93
2014-09-30,360.52,$4.89,73.75
2014-06-30,282.47,$4.70,60.05
2014-03-31,300.28,$3.19,94.17
2013-12-31,275.24,$3.88,70.86
2013-09-30,312.87,$2.55,122.68
2013-06-30,224.88,$2.07,108.43
2013-03-31,176.4,$0.43,409.38
2012-12-31,171.07,$-1.07,0.0
2012-09-30,152.66,$-2.43,0.0
2012-06-30,114.22,$-3.01,0.0
2012-03-31,116.62,$-2.74,0.0
2011-12-31,55.43,$-2.20,0.0
2011-09-30,58.2,$-2.40,0.0
2011-06-30,56.71,$-0.09,0.0
2011-03-31,44.94,$0.03,1776.28
2010-12-31,32.83,$-0.01,0.0
2010-09-30,27.4,$0.06,489.29
2010-06-30,22.32,$-2.05,0.0
2010-03-31,26.49,$-2.03,0.0
2009-12-31,24.18,$-2.10,0.0
