Booking Holdings Price to Free Cash Flow Ratio Historical Data,Booking Holdings Price to Free Cash Flow Ratio Historical Data,Booking Holdings Price to Free Cash Flow Ratio Historical Data,Booking Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,3989.1,,20.77
2024-03-31,3619.57,$192.02,18.85
2023-12-31,3530.22,$191.60,18.43
2023-09-30,3069.17,$211.10,14.54
2023-06-30,2687.39,$171.84,15.64
2023-03-31,2639.7,$189.44,13.93
2022-12-31,2005.62,$154.45,12.99
2022-09-30,1635.33,$107.32,15.24
2022-06-30,1740.61,$143.72,12.11
2022-03-31,2337.19,$106.22,22.0
2021-12-31,2387.73,$60.83,39.25
2021-09-30,2362.49,$40.96,57.68
2021-06-30,2177.6,$25.07,86.87
2021-03-31,2318.67,$-0.33,0.0
2020-12-31,2216.59,$-4.88,0.0
2020-09-30,1702.48,$32.19,52.89
2020-06-30,1584.71,$53.54,29.6
2020-03-31,1338.87,$91.31,14.66
2019-12-31,2043.89,$103.36,19.77
2019-09-30,1953.2,$102.21,19.11
2019-06-30,1865.72,$99.50,18.75
2019-03-31,1736.55,$92.48,18.78
2018-12-31,1714.16,$101.96,16.81
2018-09-30,1974.49,$54.40,36.3
2018-06-30,2017.37,$71.26,28.31
2018-03-31,2070.42,$78.18,26.48
2017-12-31,1729.41,$87.56,19.75
2017-09-30,1822.04,$135.57,13.44
2017-06-30,1861.55,$108.77,17.11
2017-03-31,1771.44,$89.09,19.88
2016-12-31,1459.03,$75.19,19.41
2016-09-30,1464.44,$72.17,20.29
2016-06-30,1242.43,$67.87,18.31
2016-03-31,1282.78,$61.15,20.98
2015-12-31,1268.84,$58.72,21.61
2015-09-30,1230.93,$54.44,22.61
2015-06-30,1145.85,$53.18,21.55
2015-03-31,1158.57,$53.10,21.82
2014-12-31,1134.74,$52.48,21.62
2014-09-30,1153.03,$49.41,23.34
2014-06-30,1197.23,$43.30,27.65
2014-03-31,1186.18,$41.80,28.38
2013-12-31,1156.83,$42.30,27.35
2013-09-30,1006.1,$41.19,24.42
2013-06-30,822.71,$36.49,22.55
2013-03-31,684.86,$33.71,20.32
2012-12-31,617.42,$33.72,18.31
2012-09-30,616.1,$29.58,20.83
2012-06-30,661.33,$27.30,24.23
2012-03-31,714.06,$23.33,30.6
2011-12-31,465.47,$25.29,18.41
2011-09-30,447.31,$23.40,19.12
2011-06-30,509.48,$18.68,27.27
2011-03-31,504.01,$18.08,27.88
2010-12-31,397.63,$14.80,26.86
2010-09-30,346.67,$14.40,24.08
2010-06-30,175.69,$12.23,14.37
2010-03-31,253.78,$10.44,24.31
2009-12-31,217.36,$9.99,21.77
