Berkshire Hathaway Price to Free Cash Flow Ratio Historical Data,Berkshire Hathaway Price to Free Cash Flow Ratio Historical Data,Berkshire Hathaway Price to Free Cash Flow Ratio Historical Data,Berkshire Hathaway Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,475.92,,31.91
2024-06-30,406.8,$14.91,27.28
2024-03-31,420.52,$14.28,29.46
2023-12-31,356.66,$13.70,26.04
2023-09-30,350.3,$12.31,28.45
2023-06-30,341.0,$11.92,28.62
2023-03-31,308.77,$10.52,29.36
2022-12-31,308.9,$9.93,31.12
2022-09-30,267.02,$8.94,29.86
2022-06-30,273.02,$9.31,29.34
2022-03-31,352.91,$10.28,34.35
2021-12-31,299.0,$11.54,25.92
2021-09-30,272.94,$12.83,21.28
2021-06-30,277.92,$12.61,22.04
2021-03-31,255.47,$12.56,20.34
2020-12-31,231.87,$11.18,20.74
2020-09-30,212.94,$11.22,18.97
2020-06-30,178.51,$9.84,18.14
2020-03-31,182.83,$9.03,20.24
2019-12-31,226.5,$9.26,24.46
2019-09-30,208.02,$8.88,23.42
2019-06-30,213.17,$9.39,22.69
2019-03-31,200.89,$9.05,22.19
2018-12-31,204.18,$9.27,22.03
2018-09-30,214.11,$-1.35,0.0
2018-06-30,186.65,$9.04,20.66
2018-03-31,199.48,$9.34,21.37
2017-12-31,198.22,$13.78,14.38
2017-09-30,183.32,$23.45,7.82
2017-06-30,169.37,$12.98,13.04
2017-03-31,166.68,$12.57,13.26
2016-12-31,162.98,$7.98,20.42
2016-09-30,144.47,$7.59,19.04
2016-06-30,144.79,$7.06,20.5
2016-03-31,141.88,$7.10,19.99
2015-12-31,132.04,$6.25,21.13
2015-09-30,130.4,$9.50,13.72
2015-06-30,136.11,$8.84,15.4
2015-03-31,144.32,$7.84,18.41
2014-12-31,150.15,$8.28,18.14
2014-06-30,126.56,$5.75,22.0
2014-03-31,124.97,$6.04,20.71
2013-12-31,118.56,$6.73,17.61
2013-09-30,113.51,$6.44,17.64
2013-06-30,111.92,$5.36,20.88
2013-03-31,104.2,$5.24,19.87
2014-09-30,138.14,$4.67,29.6
2012-12-31,89.7,$4.51,19.9
2012-09-30,88.2,$4.42,19.97
2012-06-30,83.33,$4.31,19.34
2012-03-31,81.15,$5.15,15.76
2011-12-31,76.3,$4.96,15.38
2011-09-30,71.04,$5.15,13.78
2011-06-30,77.39,$5.82,13.3
2011-03-31,83.63,$4.78,17.51
2010-12-31,80.11,$4.85,16.51
2010-09-30,82.68,$5.01,16.49
2010-06-30,79.69,$4.27,18.65
2010-03-31,81.27,$4.17,19.48
2009-12-31,65.72,$4.69,14.03
