FactSet Research Systems Price to Free Cash Flow Ratio Historical Data,FactSet Research Systems Price to Free Cash Flow Ratio Historical Data,FactSet Research Systems Price to Free Cash Flow Ratio Historical Data,FactSet Research Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,422.84,,25.82
2024-05-31,403.27,$16.38,24.62
2024-02-29,461.45,$15.72,29.35
2023-11-30,451.4,$16.34,27.62
2023-08-31,433.49,$15.03,28.83
2023-05-31,381.46,$14.52,26.27
2023-02-28,409.82,$14.13,29.01
2022-11-30,455.06,$13.19,34.5
2022-08-31,426.65,$12.58,33.93
2022-05-31,375.12,$13.48,27.82
2022-02-28,398.09,$12.10,32.91
2021-11-30,458.42,$12.64,36.28
2021-08-31,371.33,$12.81,29.0
2021-05-31,325.84,$12.10,26.93
2021-02-28,295.44,$12.57,23.51
2020-11-30,323.61,$11.12,29.09
2020-08-31,338.93,$11.08,30.59
2020-05-31,296.8,$9.84,30.16
2020-02-29,256.08,$9.97,25.69
2019-11-30,249.33,$10.30,24.2
2019-08-31,260.56,$9.46,27.54
2019-05-31,265.7,$9.26,28.71
2019-02-28,224.02,$8.61,26.02
2018-11-30,222.77,$8.50,26.21
2018-08-31,217.92,$8.94,24.37
2018-05-31,190.42,$11.06,17.22
2018-02-28,191.87,$9.74,19.7
2017-11-30,188.24,$8.55,22.02
2017-08-31,147.61,$8.51,17.35
2017-02-28,165.89,$6.31,26.31
2016-11-30,148.95,$6.47,23.04
2016-08-31,165.05,$6.85,24.09
2016-05-31,147.06,$7.24,20.31
2016-02-29,138.68,$7.39,18.77
2015-11-30,155.78,$6.43,24.23
2015-08-31,144.73,$6.65,21.77
2015-05-31,150.96,$5.73,26.33
2015-02-28,141.79,$4.06,34.93
2014-11-30,124.63,$5.22,23.89
2014-08-31,115.52,$4.55,25.38
2017-05-31,155.04,$4.93,31.48
2014-05-31,96.85,$5.85,16.56
2014-02-28,94.83,$5.76,16.47
2013-11-30,101.44,$5.85,17.35
2013-08-31,91.6,$5.63,16.27
2013-05-31,87.58,$5.17,16.94
2013-02-28,86.47,$4.63,18.68
2012-11-30,81.85,$4.51,18.17
2012-08-31,81.47,$4.57,17.82
2012-05-31,92.78,$4.79,19.38
2012-02-29,76.69,$4.47,17.15
2011-11-30,81.56,$4.51,18.07
2011-08-31,76.67,$3.75,20.42
2011-05-31,96.4,$3.72,25.9
2011-02-28,90.97,$3.90,23.35
2010-11-30,76.73,$3.88,19.75
2010-08-31,63.49,$3.96,16.01
2010-05-31,58.56,$3.90,15.01
2010-02-28,56.77,$3.81,14.91
2009-11-30,61.86,$4.14,14.93
