Alexandria Real Estate Equities Price to Free Cash Flow Ratio Historical Data,Alexandria Real Estate Equities Price to Free Cash Flow Ratio Historical Data,Alexandria Real Estate Equities Price to Free Cash Flow Ratio Historical Data,Alexandria Real Estate Equities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,119.57,,0.0
2024-06-30,116.97,$-5.01,0.0
2024-03-31,127.49,$-3.73,0.0
2023-12-31,124.14,$-5.02,0.0
2023-09-30,97.07,$-11.17,0.0
2023-06-30,108.7,$-11.57,0.0
2023-03-31,118.98,$-13.43,0.0
2022-12-31,136.67,$-24.10,0.0
2022-09-30,130.44,$-31.53,0.0
2022-06-30,133.81,$-35.56,0.0
2022-03-31,184.17,$-42.68,0.0
2021-12-31,202.89,$-42.88,0.0
2021-09-30,172.98,$-31.28,0.0
2021-06-30,163.76,$-34.34,0.0
2021-03-31,146.98,$-28.65,0.0
2020-12-31,158.4,$-18.87,0.0
2020-09-30,141.32,$-28.49,0.0
2020-06-30,142.37,$-25.99,0.0
2020-03-31,119.48,$-27.28,0.0
2019-12-31,139.86,$-26.52,0.0
2019-09-30,132.48,$-17.15,0.0
2019-06-30,120.55,$-13.69,0.0
2019-03-31,120.95,$-14.20,0.0
2018-12-31,97.11,$-13.30,0.0
2018-09-30,105.11,$-13.74,0.0
2018-06-30,104.63,$-12.81,0.0
2018-03-31,102.81,$-12.09,0.0
2017-12-31,106.73,$-11.98,0.0
2017-09-30,96.57,$-18.91,0.0
2017-06-30,97.07,$-18.99,0.0
2017-03-31,88.42,$-16.63,0.0
2016-12-31,88.25,$-13.73,0.0
2016-09-30,85.72,$-5.32,0.0
2016-06-30,81.0,$-5.43,0.0
2016-03-31,70.56,$-5.22,0.0
2015-12-31,69.53,$-4.76,0.0
2015-09-30,64.61,$-4.52,0.0
2015-06-30,66.15,$-2.57,0.0
2015-03-31,73.51,$-2.15,0.0
2014-12-31,66.04,$-2.95,0.0
2014-09-30,54.43,$-3.97,0.0
2014-06-30,56.75,$-4.92,0.0
2014-03-31,52.54,$-4.60,0.0
2013-12-31,45.62,$-3.66,0.0
2013-09-30,45.3,$-2.98,0.0
2013-06-30,46.15,$-2.27,0.0
2013-03-31,49.34,$-2.72,0.0
2012-12-31,47.78,$-4.01,0.0
2012-09-30,50.27,$-4.29,0.0
2012-06-30,49.36,$-4.31,0.0
2012-03-31,49.28,$-8.72,0.0
2011-12-31,46.16,$-7.92,0.0
2011-09-30,40.8,$-7.49,0.0
2011-06-30,51.05,$-8.90,0.0
2011-03-31,51.12,$-4.49,0.0
2010-12-31,47.75,$-4.60,0.0
2010-09-30,45.34,$-5.30,0.0
2010-06-30,40.84,$-4.76,0.0
2010-03-31,43.33,$-4.40,0.0
2009-12-31,41.0,$-5.65,0.0
