L3Harris Technologies Inc Price to Free Cash Flow Ratio Historical Data,L3Harris Technologies Inc Price to Free Cash Flow Ratio Historical Data,L3Harris Technologies Inc Price to Free Cash Flow Ratio Historical Data,L3Harris Technologies Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,236.67,,26.58
2024-06-30,224.58,$8.90,25.22
2024-03-31,213.1,$6.70,31.8
2023-12-31,209.48,$9.31,22.51
2023-09-30,172.12,$8.98,19.18
2023-06-30,193.53,$10.00,19.35
2023-03-31,193.99,$11.58,16.75
2022-12-31,204.68,$10.04,20.38
2022-09-30,203.28,$18.12,11.22
2022-06-30,236.41,$17.54,13.48
2022-03-31,243.03,$17.14,14.18
2021-12-31,207.66,$20.08,10.34
2021-09-30,213.48,$11.07,19.28
2021-06-30,208.61,$12.12,17.21
2021-03-31,194.7,$12.29,15.84
2020-12-31,181.58,$11.64,15.6
2020-09-30,163.15,$5.99,27.24
2020-06-30,162.99,$5.63,28.93
