Monster Beverage Price to Free Cash Flow Ratio Historical Data,Monster Beverage Price to Free Cash Flow Ratio Historical Data,Monster Beverage Price to Free Cash Flow Ratio Historical Data,Monster Beverage Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,47.13,,32.04
2024-06-30,49.95,$1.47,33.95
2024-03-31,59.28,$1.38,42.87
2023-12-31,57.61,$1.42,40.66
2023-09-30,52.95,$1.34,39.52
2023-06-30,57.44,$1.27,45.22
2023-03-31,54.01,$1.04,51.9
2022-12-31,50.77,$0.66,77.3
2022-09-30,43.48,$0.62,69.71
2022-06-30,46.35,$0.53,86.72
2022-03-31,39.95,$0.86,46.33
2021-12-31,48.02,$1.04,46.21
2021-09-30,44.42,$1.22,36.4
2021-06-30,45.68,$1.38,33.17
2021-03-31,45.55,$1.22,37.32
2020-12-31,46.24,$1.23,37.57
2020-09-30,40.1,$1.07,37.49
2020-06-30,34.66,$0.92,37.73
2020-03-31,28.13,$0.99,28.45
2019-12-31,31.78,$0.93,34.28
2019-09-30,29.03,$0.99,29.18
2019-06-30,31.92,$0.96,33.27
2019-03-31,27.29,$0.30,91.33
2018-12-31,24.61,$0.35,69.66
2018-09-30,29.14,$0.27,109.71
2018-06-30,28.65,$0.27,107.95
2017-12-31,31.65,$0.78,40.33
2017-09-30,27.63,$0.43,63.93
2017-06-30,24.84,$0.36,69.95
2017-03-31,23.09,$0.16,140.93
2016-12-31,22.17,$-0.44,0.0
2018-03-31,28.61,$-0.17,0.0
2016-09-30,24.47,$-0.13,0.0
2016-06-30,26.79,$-0.08,0.0
2016-03-31,22.23,$0.41,54.22
2015-12-31,24.83,$0.42,58.78
2015-09-30,22.52,$0.44,51.69
2015-06-30,22.34,$0.44,50.21
2015-03-31,23.07,$0.52,44.5
2014-12-31,18.06,$0.55,33.1
2014-09-30,15.28,$0.43,35.66
2014-06-30,11.84,$0.45,26.32
2014-03-31,11.58,$0.38,30.14
2013-12-31,11.3,$0.30,37.86
2013-09-30,8.71,$0.29,30.02
2013-06-30,10.14,$0.22,45.1
2013-03-31,7.96,$0.24,33.31
2012-12-31,8.81,$0.22,39.47
2012-09-30,9.01,$0.26,34.72
2012-06-30,11.87,$0.26,46.19
2012-03-31,10.35,$0.28,36.91
2011-12-31,7.68,$0.28,27.85
2011-09-30,7.27,$0.24,30.5
2011-06-30,6.75,$0.18,36.64
2011-03-31,5.02,$0.09,54.62
2010-12-31,4.36,$0.10,43.52
2010-09-30,3.89,$0.13,30.28
2010-06-30,3.26,$0.12,28.15
2009-12-31,3.2,$0.12,27.21
2009-09-30,3.06,$0.15,19.93
