McKesson Price to Free Cash Flow Ratio Historical Data,McKesson Price to Free Cash Flow Ratio Historical Data,McKesson Price to Free Cash Flow Ratio Historical Data,McKesson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,561.08,,20.74
2024-03-31,536.17,$27.05,19.82
2023-12-31,461.85,$20.13,22.94
2023-09-30,433.78,$30.14,14.39
2023-06-30,425.62,$30.88,13.78
2023-03-31,354.16,$32.36,10.95
2022-12-31,372.55,$27.94,13.33
2022-09-30,337.06,$25.61,13.16
2022-06-30,323.04,$29.43,10.98
2022-03-31,302.72,$25.30,11.96
2021-12-31,245.38,$27.32,8.98
2021-09-30,196.4,$25.47,7.71
2021-06-30,187.95,$20.25,9.28
2021-03-31,190.85,$24.29,7.86
2020-12-31,169.77,$29.41,5.77
2020-09-30,145.04,$21.30,6.81
2020-06-30,149.0,$14.93,9.98
2020-03-31,131.03,$21.30,6.15
2019-12-31,133.6,$26.03,5.13
2019-09-30,131.62,$15.76,8.35
2019-06-30,129.05,$15.07,8.56
2019-03-31,112.05,$22.25,5.04
2024-06-30,583.3,$-13.19,0.0
2018-12-31,105.42,$12.19,8.65
2018-09-30,126.19,$13.20,9.56
2018-06-30,126.52,$9.12,13.87
2018-03-31,133.29,$18.01,7.4
2017-12-31,147.22,$9.98,14.76
2017-09-30,144.68,$12.13,11.93
2017-06-30,154.62,$14.02,11.02
2017-03-31,139.09,$18.75,7.42
2016-12-31,131.52,$24.58,5.35
2016-09-30,155.83,$20.49,7.61
2016-06-30,174.16,$19.09,9.13
2016-03-31,146.51,$12.85,11.4
2015-12-31,183.43,$8.93,20.55
2015-09-30,171.84,$15.53,11.07
2015-06-30,208.49,$12.06,17.28
2015-03-31,209.56,$10.92,19.18
2014-12-31,192.11,$14.44,13.31
2014-09-30,179.96,$8.58,20.98
2014-06-30,171.92,$9.29,18.5
2014-03-31,162.81,$11.66,13.96
2013-12-31,148.62,$9.37,15.86
2013-09-30,117.97,$10.10,11.68
2013-06-30,105.07,$1.20,87.63
2013-03-31,98.9,$3.10,31.88
2012-12-31,88.65,$-4.59,0.0
2012-09-30,78.49,$0.40,196.28
2012-03-31,79.71,$10.17,7.84
2011-12-31,70.59,$15.65,4.51
2011-09-30,65.7,$12.09,5.44
2011-06-30,75.4,$10.06,7.49
2011-03-31,71.09,$9.94,7.15
2012-06-30,85.34,$1.52,56.06
2010-12-31,63.15,$5.94,10.63
2010-09-30,55.28,$4.49,12.31
2010-06-30,59.91,$5.70,10.51
2010-03-31,58.47,$7.10,8.24
2009-12-31,55.49,$8.74,6.35
