Zebra Technologies Price to Free Cash Flow Ratio Historical Data,Zebra Technologies Price to Free Cash Flow Ratio Historical Data,Zebra Technologies Price to Free Cash Flow Ratio Historical Data,Zebra Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,345.38,,40.49
2024-06-30,308.93,$8.53,36.22
2024-03-31,301.44,$2.16,139.48
2023-12-31,273.33,$-1.76,0.0
2023-09-30,236.53,$0.84,281.92
2023-06-30,295.83,$2.71,109.01
2023-03-31,318.0,$5.33,59.64
2022-12-31,256.41,$7.86,32.63
2022-09-30,262.01,$7.18,36.48
2022-06-30,293.95,$11.56,25.42
2022-03-31,413.7,$15.52,26.66
2021-12-31,595.2,$18.74,31.76
2021-09-30,515.42,$22.44,22.97
2021-06-30,529.49,$20.14,26.29
2021-03-31,485.18,$18.82,25.78
2020-12-31,384.33,$16.60,23.15
2020-09-30,252.46,$13.52,18.67
2020-06-30,255.95,$14.41,17.76
2020-03-31,183.6,$12.68,14.48
2019-12-31,255.44,$11.43,22.35
2019-09-30,206.37,$12.59,16.39
2019-06-30,209.49,$12.00,17.45
2019-03-31,209.53,$5.80,36.12
2018-12-31,159.23,$9.95,16.01
2018-09-30,176.83,$4.16,42.47
2018-06-30,143.25,$2.33,61.47
2017-12-31,103.8,$7.97,13.02
2017-09-30,108.58,$7.39,14.69
2017-06-30,100.52,$9.28,10.83
2017-03-31,91.25,$10.04,9.09
2016-12-31,85.76,$8.30,10.33
2018-03-31,139.19,$5.74,24.24
2016-09-30,69.61,$3.36,20.72
2016-06-30,50.1,$2.30,21.81
2016-03-31,69.0,$1.30,52.93
2015-12-31,69.65,$0.00,0.0
2015-09-30,76.55,$2.50,30.57
2015-06-30,111.05,$1.51,73.55
2015-03-31,90.72,$3.34,27.2
2014-12-31,77.41,$4.07,19.03
2014-09-30,70.97,$3.11,22.79
2014-06-30,82.32,$3.79,21.74
2014-03-31,69.41,$3.90,17.78
2013-12-31,54.08,$3.41,15.87
2013-09-30,45.56,$3.25,14.0
2013-06-30,43.44,$3.29,13.21
2013-03-31,47.13,$2.98,15.8
2012-12-31,39.31,$3.10,12.67
2012-09-30,37.49,$2.91,12.89
2012-06-30,34.36,$2.44,14.08
2012-03-31,41.18,$1.66,24.75
2011-12-31,35.78,$0.95,37.73
2011-09-30,30.94,$0.88,35.09
2011-06-30,42.17,$0.96,43.86
2011-03-31,39.24,$1.35,28.98
2010-12-31,37.99,$1.93,19.63
2010-09-30,33.64,$1.99,16.89
2010-06-30,25.37,$1.93,13.13
2010-03-31,29.6,$1.91,15.49
2009-12-31,28.35,$1.36,20.85
