Public Service Enterprise Group Price to Free Cash Flow Ratio Historical Data,Public Service Enterprise Group Price to Free Cash Flow Ratio Historical Data,Public Service Enterprise Group Price to Free Cash Flow Ratio Historical Data,Public Service Enterprise Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,80.75,,0.0
2024-06-30,73.7,$-1.95,0.0
2024-03-31,66.78,$-1.51,0.0
2023-12-31,60.59,$0.96,62.99
2023-09-30,55.88,$1.48,37.72
2023-06-30,60.9,$1.04,58.81
2023-03-31,60.19,$-0.14,0.0
2022-12-31,58.48,$-2.76,0.0
2022-09-30,53.19,$-3.00,0.0
2022-06-30,59.39,$-3.32,0.0
2022-03-31,65.17,$-3.15,0.0
2021-12-31,61.62,$-1.95,0.0
2021-09-30,55.79,$-2.21,0.0
2021-06-30,54.29,$-0.64,0.0
2021-03-31,54.26,$0.28,196.45
2020-12-31,52.07,$0.35,147.48
2020-09-30,48.63,$0.62,79.02
2020-06-30,43.13,$0.48,89.98
2020-03-31,39.06,$0.44,88.8
2019-12-31,50.86,$0.42,121.07
2019-09-30,53.04,$-0.27,0.0
2019-06-30,49.87,$-0.80,0.0
2019-03-31,49.98,$-1.31,0.0
2018-12-31,43.44,$-1.97,0.0
2018-09-30,43.7,$-2.27,0.0
2018-06-30,44.44,$-2.12,0.0
2018-03-31,40.88,$-1.93,0.0
2017-12-31,41.5,$-1.83,0.0
2017-09-30,36.97,$-1.92,0.0
2017-06-30,34.06,$-1.70,0.0
2017-03-31,34.78,$-1.77,0.0
2016-12-31,34.08,$-1.74,0.0
2016-09-30,32.2,$-1.23,0.0
2016-06-30,35.51,$-1.35,0.0
2016-03-31,35.58,$-1.43,0.0
2015-12-31,28.94,$0.11,262.58
2015-09-30,31.21,$0.36,86.72
2015-06-30,28.79,$1.20,23.9
2015-03-31,30.43,$1.51,20.21
2014-12-31,29.77,$0.67,44.47
2014-09-30,26.53,$1.24,21.43
2014-06-30,28.77,$1.24,23.23
2014-03-31,26.64,$1.38,19.31
2013-12-31,22.15,$0.68,32.43
2013-09-30,22.52,$0.40,56.08
2013-06-30,22.09,$0.10,215.28
2013-03-31,22.97,$-0.07,0.0
2012-12-31,20.24,$0.42,48.19
2012-09-30,21.04,$1.75,12.04
2012-06-30,21.01,$2.33,9.04
2012-03-31,19.57,$2.62,7.46
2011-12-31,20.86,$2.91,7.17
2011-09-30,20.86,$2.19,9.51
2011-06-30,20.2,$1.55,12.99
2011-03-31,19.29,$-0.19,0.0
2010-12-31,19.27,$0.01,0.0
2010-09-30,19.82,$-0.45,0.0
2010-06-30,18.58,$-0.60,0.0
2010-03-31,17.31,$-0.56,0.0
2009-12-31,19.28,$0.12,160.29
