Cognizant Technology Solutions Price to Free Cash Flow Ratio Historical Data,Cognizant Technology Solutions Price to Free Cash Flow Ratio Historical Data,Cognizant Technology Solutions Price to Free Cash Flow Ratio Historical Data,Cognizant Technology Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,77.77,,24.27
2024-06-30,67.73,$3.20,21.14
2024-03-31,72.68,$2.78,26.16
2023-12-31,74.61,$3.99,18.72
2023-09-30,66.64,$3.85,17.32
2023-06-30,63.95,$4.20,15.22
2023-03-31,59.42,$5.19,11.44
2022-12-31,55.53,$4.31,12.89
2022-09-30,55.52,$4.57,12.15
2022-06-30,64.98,$4.43,14.68
2022-03-31,86.01,$4.38,19.65
2021-12-31,84.83,$4.20,20.21
2021-09-30,70.74,$4.28,16.54
2021-06-30,65.82,$4.07,16.16
2021-03-31,73.99,$4.83,15.31
2020-12-31,77.37,$5.36,14.43
2020-09-30,65.35,$5.32,12.27
2020-06-30,53.31,$4.97,10.72
2020-03-31,43.41,$4.18,10.38
2019-12-31,57.76,$3.76,15.35
2019-09-30,55.95,$3.31,16.91
2019-06-30,58.66,$3.50,16.78
2019-03-31,66.82,$3.58,18.66
2018-12-31,58.39,$3.79,15.39
2018-09-30,70.76,$4.03,17.54
2018-06-30,72.25,$3.87,18.69
2018-03-31,73.44,$3.72,19.76
2017-12-31,64.63,$3.57,18.11
2017-09-30,65.88,$3.15,20.88
2017-06-30,60.17,$2.85,21.11
2017-03-31,53.81,$2.54,21.19
2016-12-31,50.66,$2.20,22.98
2016-09-30,43.14,$2.42,17.84
2016-06-30,51.75,$2.78,18.62
2016-03-31,56.69,$2.92,19.4
2015-12-31,54.27,$3.12,17.38
2015-09-30,56.58,$2.47,22.92
2015-06-30,55.23,$2.10,26.29
2015-03-31,56.41,$2.09,27.05
2014-12-31,47.61,$2.06,23.15
2014-09-30,40.48,$2.30,17.57
2014-06-30,44.22,$2.18,20.32
2014-03-31,45.75,$2.09,21.89
2013-12-31,45.65,$1.91,23.95
2013-09-30,37.12,$1.63,22.75
2013-06-30,28.32,$1.42,19.9
2013-03-31,34.64,$1.31,26.53
2012-12-31,33.4,$1.37,24.38
2012-09-30,31.6,$1.25,25.29
2012-06-30,27.12,$1.43,18.98
2012-03-31,34.79,$1.01,34.36
2011-12-31,29.07,$1.46,19.91
2011-09-30,28.34,$1.51,18.77
2011-03-31,36.8,$0.96,38.49
2010-12-31,33.13,$0.94,35.37
2010-09-30,29.15,$1.14,25.65
2010-06-30,22.63,$0.49,46.29
2010-03-31,23.05,$0.63,36.85
2009-12-31,20.49,$0.90,22.83
2011-06-30,33.16,$0.27,120.65
