Lululemon Athletica Inc Price to Free Cash Flow Ratio Historical Data,Lululemon Athletica Inc Price to Free Cash Flow Ratio Historical Data,Lululemon Athletica Inc Price to Free Cash Flow Ratio Historical Data,Lululemon Athletica Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,259.47,,19.03
2024-04-30,360.6,$13.63,26.45
2024-01-31,453.82,$12.94,35.07
2023-10-31,393.48,$10.24,38.41
2023-07-31,378.53,$7.59,49.9
2023-04-30,379.93,$4.60,82.54
2023-01-31,306.88,$2.56,119.85
2022-10-31,329.04,$0.63,524.2
2022-07-31,310.51,$1.77,175.39
2022-04-30,354.63,$3.73,95.06
2022-01-31,333.76,$7.63,43.72
2021-10-31,466.01,$8.04,57.94
2021-07-31,400.17,$7.45,53.71
2021-04-30,335.27,$6.86,48.9
2021-01-31,328.68,$4.39,74.92
2020-10-31,319.29,$3.21,99.54
2020-07-31,325.59,$3.26,99.76
2020-04-30,223.48,$2.62,85.18
2020-01-31,239.39,$2.95,81.16
2019-10-31,204.27,$1.74,117.07
2019-07-31,191.09,$2.27,84.31
2019-04-30,176.35,$2.85,61.91
2019-01-31,147.81,$3.86,38.3
2018-10-31,140.73,$3.46,40.69
2018-07-31,119.95,$2.99,40.15
2018-04-30,99.8,$2.45,40.76
2018-01-31,78.21,$2.43,32.13
2017-10-31,61.51,$1.96,31.41
2017-07-31,61.64,$1.89,32.62
2017-04-30,52.0,$1.62,32.01
2017-01-31,67.51,$1.73,39.13
2016-10-31,57.25,$1.63,35.03
2016-07-31,77.65,$1.55,49.94
2016-04-30,65.55,$1.25,52.41
2016-01-31,62.07,$1.10,56.22
2015-10-31,49.17,$0.22,218.92
2015-07-31,62.86,$0.62,100.93
2015-04-30,63.64,$0.99,64.41
2015-01-31,66.24,$1.35,49.09
2014-10-31,41.65,$1.56,26.69
2014-07-31,38.47,$1.49,25.87
2014-04-30,45.93,$1.46,31.44
2014-01-31,45.69,$1.18,38.81
2013-10-31,69.09,$1.16,59.79
2013-07-31,69.57,$1.30,53.59
2013-04-30,76.13,$1.29,59.12
2013-01-31,69.0,$1.28,53.83
2012-10-31,68.84,$1.21,57.09
2012-07-31,56.48,$1.23,45.79
2012-04-30,74.14,$1.10,67.5
2012-01-31,63.13,$0.60,105.46
2011-10-31,56.48,$0.26,220.11
2011-07-31,60.54,$0.41,146.48
2011-04-30,50.03,$0.52,96.95
2011-01-31,34.34,$1.04,33.01
2010-10-31,22.16,$0.88,25.16
2010-07-31,20.74,$0.72,28.96
2010-04-30,18.81,$0.77,24.59
2010-01-31,14.12,$0.72,19.55
2009-10-31,12.56,$0.34,36.7
