Analog Devices Price to Free Cash Flow Ratio Historical Data,Analog Devices Price to Free Cash Flow Ratio Historical Data,Analog Devices Price to Free Cash Flow Ratio Historical Data,Analog Devices Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,234.84,,31.2
2024-07-31,231.38,$7.53,30.74
2024-01-31,190.69,$6.46,29.53
2023-10-31,155.24,$7.03,22.09
2023-07-31,195.95,$9.79,20.02
2023-04-30,175.82,$5.57,31.56
2023-01-31,166.81,$6.11,27.29
2022-10-31,138.12,$5.81,23.77
2024-04-30,199.81,$3.08,64.87
2022-07-31,165.73,$7.34,22.59
2022-04-30,148.11,$6.68,22.16
2022-01-31,156.57,$6.40,24.47
2021-10-31,165.03,$5.96,27.69
2021-07-31,158.6,$5.98,26.52
2021-04-30,144.48,$5.95,24.27
2021-01-31,138.36,$5.13,26.98
2020-10-31,110.82,$4.95,22.37
2020-07-31,106.82,$4.86,22.0
2020-04-30,101.37,$4.74,21.37
2020-01-31,100.93,$5.34,18.89
2019-10-31,97.6,$5.30,18.4
2019-07-31,106.98,$6.87,15.58
2019-04-30,105.29,$7.31,14.4
2019-01-31,89.1,$6.59,13.52
2018-10-31,75.05,$7.57,9.92
2018-04-30,77.56,$3.08,25.21
2018-01-31,81.17,$2.64,30.73
2017-10-31,80.24,$2.71,29.59
2017-07-31,69.05,$2.43,28.46
2017-04-30,66.23,$4.43,14.95
2017-01-31,64.78,$4.04,16.02
2016-10-31,55.1,$3.73,14.78
2016-07-31,54.5,$2.77,19.7
2016-04-30,47.74,$2.57,18.61
2016-01-31,45.29,$2.54,17.8
2015-10-31,50.22,$2.38,21.11
2015-07-31,48.37,$2.58,18.73
2015-04-30,50.98,$2.61,19.5
2015-01-31,42.67,$2.30,18.58
2014-10-31,40.37,$2.18,18.51
2014-07-31,40.08,$2.24,17.89
2014-04-30,41.13,$2.30,17.88
2014-01-31,38.43,$2.41,15.97
2013-10-31,38.98,$2.51,15.51
2013-07-31,38.76,$2.41,16.11
2013-04-30,34.27,$2.14,16.04
2013-01-31,33.75,$2.06,16.39
2012-10-31,30.03,$2.23,13.47
2012-07-31,29.77,$2.25,13.24
2012-04-30,29.45,$2.64,11.16
2012-01-31,29.33,$2.52,11.62
2011-10-31,27.22,$2.52,10.79
2011-07-31,25.41,$2.63,9.65
2011-04-30,29.59,$2.52,11.73
2011-01-31,28.34,$2.85,9.95
2010-10-31,24.43,$2.88,8.5
2010-07-31,21.4,$2.60,8.22
2010-04-30,21.39,$2.43,8.79
2010-01-31,19.14,$1.80,10.63
2009-10-31,18.07,$1.28,14.07
2009-07-31,19.16,$4.93,3.89
