Monolithic Power Systems Price to Free Cash Flow Ratio Historical Data,Monolithic Power Systems Price to Free Cash Flow Ratio Historical Data,Monolithic Power Systems Price to Free Cash Flow Ratio Historical Data,Monolithic Power Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,934.68,,49.5
2024-06-30,821.68,$18.88,43.51
2024-03-31,676.39,$17.46,38.74
2023-12-31,628.65,$12.19,51.58
2023-03-31,496.04,$6.53,75.96
2022-12-31,349.73,$3.88,90.04
2022-09-30,358.65,$-1.26,0.0
2022-06-30,378.24,$3.82,99.0
2022-03-31,477.44,$3.96,120.67
2021-12-31,484.21,$3.49,138.62
2023-09-30,459.72,$9.04,50.85
2021-09-30,475.14,$5.94,80.01
2021-06-30,365.65,$0.94,388.33
2021-03-31,345.28,$3.89,88.76
2020-12-31,357.39,$3.62,98.59
2020-09-30,272.48,$3.07,88.83
2023-06-30,536.37,$7.14,75.11
2020-06-30,230.54,$4.53,50.9
2020-03-31,162.54,$1.06,153.67
2019-12-31,172.27,$1.14,151.3
2019-09-30,150.27,$1.04,144.03
2019-06-30,130.77,$-0.05,0.0
2018-12-31,111.29,$2.67,41.74
2018-09-30,119.86,$3.66,32.76
2018-06-30,127.33,$2.21,57.66
2018-03-31,110.03,$2.43,45.28
2017-12-31,106.51,$2.41,44.25
2019-03-31,130.1,$0.87,149.06
2017-09-30,100.83,$1.82,55.43
2017-06-30,91.05,$1.69,53.97
2017-03-31,86.81,$1.55,56.08
2016-12-31,77.06,$1.69,45.7
2016-09-30,75.53,$1.55,48.63
2016-06-30,63.94,$1.52,42.16
2016-03-31,59.38,$1.62,36.72
2015-12-31,59.26,$1.32,44.8
2015-09-30,47.48,$1.38,34.44
2015-06-30,46.83,$1.24,37.92
2015-03-31,48.44,$1.71,28.4
2014-12-31,45.59,$1.62,28.07
2014-09-30,40.25,$1.94,20.75
2014-06-30,38.57,$1.67,23.16
2014-03-31,35.18,$1.27,27.75
2013-12-31,31.45,$1.17,26.99
2013-09-30,27.48,$0.63,43.53
2013-06-30,21.88,$0.43,50.93
2013-03-31,22.12,$0.16,142.13
2012-12-31,20.22,$0.11,189.49
2012-09-30,17.13,$0.16,106.77
2012-06-30,17.21,$0.15,111.19
2012-03-31,17.06,$0.54,31.64
2011-12-31,13.07,$0.64,20.27
2011-09-30,8.83,$0.50,17.74
2011-06-30,13.37,$0.88,15.12
2011-03-31,12.3,$0.70,17.59
2010-12-31,14.33,$0.68,21.07
2010-09-30,14.16,$0.89,15.84
2010-06-30,15.49,$0.63,24.71
2010-03-31,19.34,$0.73,26.43
2009-12-31,20.79,$0.60,34.92
