MarketAxess Holdings Price to Free Cash Flow Ratio Historical Data,MarketAxess Holdings Price to Free Cash Flow Ratio Historical Data,MarketAxess Holdings Price to Free Cash Flow Ratio Historical Data,MarketAxess Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,242.39,,33.59
2024-06-30,199.89,$7.22,27.7
2024-03-31,217.81,$7.03,30.99
2023-12-31,289.95,$7.47,38.81
2023-09-30,210.83,$7.15,29.48
2023-06-30,257.27,$7.40,34.75
2023-03-31,384.16,$7.13,53.89
2022-12-31,273.25,$6.31,43.34
2022-09-30,217.36,$6.75,32.19
2022-06-30,249.46,$6.13,40.7
2022-03-31,330.62,$6.09,54.27
2021-12-31,398.93,$6.08,65.66
2021-09-30,407.41,$8.22,49.57
2021-06-30,448.34,$5.33,84.12
2021-03-31,480.83,$5.61,85.75
2020-12-31,550.33,$9.41,58.5
2020-09-30,463.99,$5.77,80.38
2020-06-30,482.05,$8.89,54.24
2020-03-31,319.65,$8.02,39.84
2019-12-31,363.75,$6.09,59.71
2019-09-30,313.76,$5.52,56.8
2019-06-30,307.49,$5.51,55.79
2019-03-31,234.98,$4.92,47.74
2018-12-31,201.33,$4.66,43.22
2018-09-30,169.71,$4.20,40.43
2018-06-30,187.71,$3.93,47.79
2018-03-31,205.86,$3.81,54.01
2017-12-31,190.59,$3.75,50.88
2017-09-30,173.98,$4.12,42.24
2017-06-30,189.31,$4.17,45.34
2017-03-31,176.18,$4.05,43.52
2016-12-31,137.82,$1.89,73.0
2016-09-30,155.07,$1.68,92.22
2016-06-30,135.94,$1.21,112.11
2016-03-31,116.47,$1.17,99.23
2015-12-31,103.87,$2.90,35.82
2015-09-30,86.41,$2.73,31.67
2015-06-30,86.0,$2.67,32.21
2015-03-31,76.66,$2.53,30.3
2014-12-31,66.15,$2.51,26.34
2014-09-30,56.93,$1.91,29.77
2014-06-30,49.61,$2.00,24.84
2014-03-31,54.18,$1.72,31.41
2013-12-31,61.07,$1.78,34.23
2013-09-30,54.6,$2.08,26.2
2013-06-30,42.47,$1.80,23.53
2013-03-31,33.78,$1.80,18.74
2012-12-31,31.86,$1.88,16.92
2012-09-30,27.33,$1.62,16.92
2012-06-30,22.96,$1.66,13.84
2012-03-31,32.02,$1.77,18.05
2011-12-31,25.77,$1.47,17.52
2011-09-30,22.2,$1.58,14.04
2011-06-30,21.31,$1.42,15.06
2011-03-31,20.48,$1.54,13.29
2010-12-31,17.55,$1.46,12.01
2010-09-30,14.26,$1.33,10.75
2010-06-30,11.53,$1.31,8.82
2010-03-31,13.1,$0.96,13.69
2009-12-31,11.52,$0.96,12.01
