C.H Robinson Worldwide Price to Free Cash Flow Ratio Historical Data,C.H Robinson Worldwide Price to Free Cash Flow Ratio Historical Data,C.H Robinson Worldwide Price to Free Cash Flow Ratio Historical Data,C.H Robinson Worldwide Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,103.51,,34.06
2024-06-30,88.12,$3.04,29.0
2024-03-31,75.61,$3.50,21.62
2023-12-31,85.09,$5.88,14.48
2023-09-30,84.21,$11.51,7.31
2023-06-30,91.62,$14.68,6.24
2023-03-31,95.88,$15.18,6.31
2022-12-31,87.82,$12.99,6.76
2022-09-30,91.81,$7.50,12.24
2022-06-30,96.17,$1.99,48.24
2022-03-31,101.66,$0.75,136.04
2021-12-31,101.05,$0.45,222.57
2021-09-30,81.25,$1.15,70.63
2021-06-30,86.99,$0.48,179.39
2021-03-31,88.15,$2.71,32.57
2020-12-31,86.24,$3.54,24.38
2020-09-30,93.37,$3.79,24.64
2020-06-30,71.86,$6.26,11.47
2020-03-31,59.8,$4.39,13.63
2019-12-31,70.1,$5.80,12.08
2019-09-30,75.5,$6.15,12.27
2019-06-30,74.67,$6.46,11.56
2019-03-31,76.53,$5.78,13.25
2018-12-31,73.57,$5.33,13.81
2018-09-30,85.16,$4.63,18.39
2018-06-30,72.42,$3.59,20.17
2018-03-31,80.69,$3.21,25.13
2017-12-31,76.32,$2.43,31.38
2017-09-30,64.85,$2.26,28.63
2017-06-30,58.17,$2.59,22.5
2017-03-31,65.02,$3.11,20.89
2016-12-31,61.29,$3.19,19.22
2016-09-30,58.59,$3.92,14.95
2016-06-30,61.36,$4.60,13.35
2016-03-31,60.99,$4.72,12.91
2015-12-31,50.66,$4.75,10.67
2015-09-30,54.94,$4.46,12.33
2015-06-30,50.33,$4.21,11.96
2015-03-31,58.72,$3.97,14.81
2014-12-31,59.75,$3.33,17.95
2014-09-30,52.64,$2.92,18.04
2014-06-30,50.37,$2.47,20.35
2014-03-31,41.12,$-0.64,0.0
2013-12-31,45.49,$0.47,96.32
2013-09-30,46.17,$0.42,110.91
2013-06-30,43.37,$-0.16,0.0
2012-12-31,48.09,$2.62,18.36
2012-09-30,44.31,$4.29,10.33
2012-06-30,44.02,$2.96,14.86
2012-03-31,48.98,$4.08,12.02
2011-12-31,51.93,$3.79,13.72
2013-03-31,45.51,$1.26,36.02
2011-09-30,50.7,$2.91,17.45
2011-06-30,58.14,$2.37,24.58
2011-03-31,54.46,$2.25,24.23
2010-12-31,58.68,$1.97,29.78
2010-09-30,50.79,$1.48,34.22
2010-06-30,40.28,$1.63,24.67
2010-03-31,40.24,$1.75,22.95
2009-12-31,42.12,$2.02,20.82
