Zimmer Biomet Holdings Price to Free Cash Flow Ratio Historical Data,Zimmer Biomet Holdings Price to Free Cash Flow Ratio Historical Data,Zimmer Biomet Holdings Price to Free Cash Flow Ratio Historical Data,Zimmer Biomet Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,115.46,,24.61
2024-06-30,108.53,$4.69,23.14
2024-03-31,131.69,$4.26,30.9
2023-12-31,121.21,$4.67,25.97
2023-09-30,111.55,$3.08,36.23
2023-06-30,144.42,$3.76,38.41
2023-03-31,127.94,$4.11,31.1
2022-12-31,126.02,$4.33,29.12
2022-09-30,103.14,$4.82,21.4
2022-06-30,103.41,$4.72,21.92
2022-03-31,125.61,$5.16,24.37
2021-12-31,124.53,$4.69,26.54
2021-09-30,143.2,$4.82,29.72
2021-06-30,157.1,$4.71,33.33
2021-03-31,156.15,$2.43,64.32
2020-12-31,150.08,$3.40,44.09
2020-09-30,132.39,$3.67,36.05
2020-06-30,115.86,$4.35,26.66
2020-03-31,97.91,$5.83,16.79
2019-12-31,144.65,$5.14,28.13
2019-09-30,132.44,$5.03,26.32
2019-06-30,113.4,$4.65,24.37
2019-03-31,122.73,$5.34,22.97
2018-12-31,99.5,$6.43,15.48
2018-09-30,125.82,$6.47,19.46
2018-06-30,106.45,$6.48,16.42
2018-03-31,103.94,$6.60,15.75
2017-12-31,114.77,$5.35,21.46
2017-09-30,111.15,$6.36,17.47
2017-06-30,121.62,$5.64,21.58
2017-03-31,115.45,$5.37,21.49
2016-12-31,97.38,$5.44,17.88
2016-09-30,122.4,$4.86,25.18
2016-06-30,113.11,$3.61,31.33
2016-03-31,99.99,$3.01,33.19
2015-12-31,95.98,$2.19,43.82
2015-09-30,87.69,$2.02,43.36
2015-06-30,101.74,$3.31,30.72
2015-03-31,109.24,$3.52,31.0
2014-12-31,105.24,$4.18,25.16
2014-09-30,93.11,$4.03,23.12
2014-06-30,95.98,$4.21,22.78
2014-03-31,87.22,$3.91,22.28
2013-12-31,85.73,$3.90,21.98
2013-09-30,75.41,$4.02,18.77
2013-06-30,68.63,$4.45,15.43
2013-03-31,68.7,$4.77,14.4
2012-12-31,60.72,$5.05,12.03
2012-09-30,61.43,$5.17,11.89
2012-06-30,58.31,$5.03,11.59
2012-03-31,58.07,$5.09,11.41
2011-12-31,48.12,$4.81,10.0
2011-09-30,48.18,$4.29,11.22
2011-06-30,56.93,$4.13,13.78
2011-03-31,54.53,$1.08,50.55
2010-12-31,48.36,$2.01,24.08
2010-09-30,47.14,$2.24,21.01
2010-06-30,48.69,$1.59,30.57
2009-12-31,53.25,$4.12,12.93
2009-09-30,48.15,$3.60,13.38
