Copart Price to Free Cash Flow Ratio Historical Data,Copart Price to Free Cash Flow Ratio Historical Data,Copart Price to Free Cash Flow Ratio Historical Data,Copart Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,52.96,,59.57
2024-04-30,54.31,$0.89,61.08
2024-01-31,48.04,$0.90,53.17
2023-10-31,43.52,$0.97,45.01
2023-07-31,44.2,$0.91,48.46
2023-04-30,39.53,$0.81,48.74
2023-01-31,33.31,$0.73,45.56
2022-10-31,28.76,$0.67,42.83
2022-07-31,32.03,$0.76,41.92
2022-04-30,28.41,$0.79,36.08
2022-01-31,32.31,$0.73,44.02
2021-10-31,38.82,$0.69,56.43
2021-07-31,36.75,$0.55,67.22
2021-04-30,31.13,$0.59,53.17
2021-01-31,27.44,$0.50,54.63
2020-10-31,27.59,$0.38,73.46
2020-07-31,23.31,$0.34,67.77
2020-04-30,20.03,$0.25,79.13
2020-01-31,25.37,$0.16,160.13
2019-10-31,20.66,$0.34,60.84
2019-07-31,19.38,$0.30,64.2
2019-04-30,16.83,$0.28,60.65
2019-01-31,12.66,$0.27,46.62
2018-10-31,12.23,$0.24,50.17
2018-07-31,14.35,$0.25,56.71
2018-04-30,12.77,$0.13,97.93
2018-01-31,11.02,$0.18,60.4
2017-10-31,9.07,$0.19,48.54
2017-07-31,7.87,$0.17,46.69
2017-04-30,7.73,$0.33,23.4
2017-01-31,7.09,$0.22,31.59
2016-10-31,6.56,$0.15,45.2
2016-07-31,6.31,$0.16,38.68
2016-04-30,5.36,$0.10,53.44
2016-01-31,4.19,$0.13,33.06
2015-10-31,4.53,$0.23,19.32
2015-07-31,4.5,$0.21,21.01
2015-04-30,4.45,$0.30,14.97
2014-10-31,4.18,$0.17,24.04
2014-07-31,4.17,$0.16,25.82
2014-04-30,4.53,$0.07,67.87
2014-01-31,4.29,$-0.04,0.0
2013-10-31,4.03,$0.06,62.66
2013-07-31,4.06,$-0.04,0.0
2015-01-31,4.58,$0.05,96.72
2013-04-30,4.41,$0.04,108.8
2013-01-31,4.49,$0.06,71.94
2012-10-31,3.6,$0.14,26.02
2012-07-31,2.97,$0.17,17.99
2012-04-30,3.3,$0.18,18.59
2012-01-31,2.94,$0.15,19.99
2011-10-31,2.72,$0.13,20.42
2011-07-31,2.72,$0.13,21.02
2011-04-30,2.84,$0.11,27.01
2011-01-31,2.45,$0.11,21.5
2010-10-31,2.12,$0.09,24.67
2010-07-31,2.28,$0.08,29.62
2010-04-30,2.23,$0.12,19.21
2010-01-31,2.11,$0.12,17.69
2009-10-31,2.01,$0.14,14.68
