General Dynamics Price to Free Cash Flow Ratio Historical Data,General Dynamics Price to Free Cash Flow Ratio Historical Data,General Dynamics Price to Free Cash Flow Ratio Historical Data,General Dynamics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,299.36,,30.75
2024-06-30,288.68,$9.73,29.66
2024-03-31,279.69,$12.23,22.88
2023-12-31,255.75,$14.36,17.81
2023-09-30,216.32,$14.95,14.47
2023-03-31,220.76,$10.63,20.76
2022-12-31,238.72,$12.46,19.16
2022-09-30,202.99,$17.29,11.74
2022-06-30,211.68,$12.67,16.71
2022-03-31,228.26,$15.65,14.59
2021-12-31,196.2,$12.46,15.75
2023-06-30,209.33,$6.62,31.64
2021-09-30,183.41,$15.14,12.12
2021-06-30,175.03,$6.06,28.87
2021-03-31,167.72,$9.65,17.39
2020-12-31,136.5,$13.02,10.48
2020-09-30,126.01,$5.70,22.1
2019-12-31,157.2,$6.86,22.93
2019-09-30,161.95,$8.95,18.1
2019-06-30,160.25,$3.12,51.38
2019-03-31,148.31,$4.82,30.76
2018-12-31,136.97,$10.21,13.42
2020-06-30,135.05,$-0.80,0.0
2018-09-30,177.56,$8.14,21.81
2018-06-30,160.89,$14.29,11.26
2018-03-31,189.85,$9.33,20.36
2017-12-31,174.14,$12.85,13.55
2017-09-30,175.28,$8.89,19.71
2020-03-31,118.6,$1.92,61.73
2017-03-31,158.23,$5.91,26.75
2016-12-31,145.31,$5.71,25.47
2016-09-30,129.94,$3.95,32.91
2016-06-30,116.61,$4.87,23.94
2016-03-31,108.78,$5.63,19.32
2015-12-31,113.13,$6.24,18.13
2015-09-30,113.06,$5.39,20.99
2015-06-30,116.13,$10.14,11.46
2015-03-31,110.14,$10.66,10.34
2014-12-31,111.17,$9.69,11.47
2014-09-30,102.15,$14.16,7.22
2014-06-30,93.18,$8.06,11.56
2014-03-31,86.59,$5.92,14.63
2013-12-31,75.52,$6.35,11.89
2013-09-30,68.71,$3.64,18.86
2017-06-30,168.2,$4.35,38.63
2013-06-30,61.06,$5.85,10.44
2013-03-31,54.52,$6.45,8.45
2012-12-31,53.57,$6.14,8.72
2012-09-30,50.36,$9.56,5.27
2012-06-30,49.85,$7.97,6.25
2012-03-31,55.06,$7.76,7.1
2011-12-31,49.5,$7.56,6.54
2011-09-30,42.06,$5.87,7.17
2011-06-30,55.1,$7.83,7.03
2011-03-31,55.9,$7.11,7.86
2010-12-31,51.51,$6.79,7.58
2010-09-30,45.29,$7.04,6.43
2010-06-30,42.23,$6.29,6.72
2010-03-31,54.97,$6.56,8.37
2009-12-31,48.28,$6.37,7.58
