Parker-Hannifin Price to Free Cash Flow Ratio Historical Data,Parker-Hannifin Price to Free Cash Flow Ratio Historical Data,Parker-Hannifin Price to Free Cash Flow Ratio Historical Data,Parker-Hannifin Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,600.2,,26.12
2024-06-30,504.41,$22.98,21.95
2024-03-31,552.65,$22.68,24.37
2023-12-31,456.78,$22.00,20.76
2023-09-30,384.85,$21.40,17.98
2023-06-30,383.96,$20.12,19.08
2023-03-31,329.36,$18.17,18.13
2022-12-31,284.09,$17.14,16.57
2022-09-30,235.52,$17.30,13.62
2022-06-30,238.01,$17.27,13.78
2022-03-31,273.09,$15.74,17.35
2021-12-31,305.13,$15.64,19.5
2021-09-30,267.36,$16.70,16.01
2021-06-30,292.65,$19.15,15.28
2021-03-31,299.6,$19.92,15.04
2020-12-31,257.92,$19.35,13.33
2020-09-30,190.87,$16.54,11.54
2020-06-30,172.15,$14.37,11.98
2020-03-31,121.18,$13.22,9.17
2019-12-31,191.45,$13.95,13.72
2019-09-30,167.26,$14.26,11.73
2019-06-30,156.57,$12.00,13.05
2019-03-31,157.25,$12.41,12.67
2018-12-31,136.01,$11.47,11.86
2018-09-30,167.0,$10.26,16.28
2018-06-30,140.89,$10.57,13.33
2018-03-31,153.94,$9.08,16.95
2017-12-31,178.96,$8.44,21.2
2017-09-30,156.37,$8.83,17.72
2017-06-30,142.19,$8.20,17.34
2017-03-31,142.05,$8.23,17.26
2016-12-31,123.49,$8.22,15.02
2016-09-30,110.18,$8.63,12.77
2016-06-30,94.36,$7.89,11.96
2016-03-31,96.46,$7.90,12.21
2015-12-31,83.7,$7.28,11.49
2015-09-30,83.47,$6.55,12.74
2015-06-30,99.19,$8.04,12.33
2015-03-31,100.75,$8.07,12.48
2014-12-31,108.81,$7.88,13.81
2014-09-30,95.85,$7.71,12.44
2014-06-30,105.14,$7.83,13.43
2014-03-31,99.72,$7.15,13.95
2013-12-31,106.71,$7.69,13.88
2013-09-30,89.84,$8.27,10.87
2013-06-30,78.49,$6.27,12.52
2013-03-31,74.98,$6.48,11.57
2012-12-31,69.33,$6.98,9.93
2012-09-30,67.76,$6.38,10.63
2012-06-30,62.02,$8.61,7.2
2012-03-31,67.88,$7.63,8.9
2011-12-31,60.94,$7.21,8.46
2011-09-30,50.24,$7.32,6.86
2011-06-30,71.01,$6.02,11.8
2011-03-31,74.61,$6.14,12.15
2010-12-31,67.77,$5.28,12.84
2010-09-30,54.82,$5.76,9.52
2010-06-30,43.21,$6.76,6.39
2010-03-31,50.24,$6.86,7.32
2009-12-31,41.63,$8.84,4.71
