BlackRock Price to Free Cash Flow Ratio Historical Data,BlackRock Price to Free Cash Flow Ratio Historical Data,BlackRock Price to Free Cash Flow Ratio Historical Data,BlackRock Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,901.81,,31.87
2024-06-30,787.32,$28.29,27.83
2024-03-31,833.7,$25.35,32.89
2023-12-31,806.84,$25.36,31.82
2023-09-30,638.25,$24.96,25.57
2023-06-30,677.43,$25.71,26.35
2023-03-31,651.05,$29.59,22.0
2022-12-31,684.52,$29.02,23.59
2022-09-30,527.93,$28.59,18.47
2022-06-30,580.02,$29.15,19.9
2022-03-31,722.51,$30.13,23.98
2021-12-31,859.63,$29.81,28.83
2021-09-30,783.82,$30.59,25.63
2021-06-30,814.16,$25.56,31.85
2021-03-31,698.29,$25.23,27.68
2020-12-31,664.25,$22.93,28.97
2020-09-30,516.18,$17.88,28.87
2020-06-30,495.26,$17.24,28.73
2020-03-31,397.84,$12.15,32.75
2019-12-31,451.25,$16.70,27.02
2019-09-30,397.36,$11.97,33.21
2019-06-30,415.16,$13.97,29.73
2019-03-31,375.24,$17.02,22.05
2018-12-31,344.9,$17.73,19.46
2018-09-30,410.55,$23.33,17.6
2018-06-30,431.82,$23.78,18.16
2018-03-31,466.32,$23.12,20.17
2017-12-31,439.9,$23.08,19.06
2017-09-30,380.95,$22.57,16.88
2017-06-30,357.79,$20.77,17.22
2017-03-31,322.89,$15.38,21.0
2016-12-31,318.36,$12.93,24.62
2016-09-30,301.46,$11.72,25.73
2016-06-30,283.15,$13.33,21.24
2016-03-31,279.75,$16.49,16.97
2015-12-31,277.74,$16.46,16.87
2015-09-30,241.18,$17.26,13.97
2015-06-30,278.5,$16.89,16.49
2015-03-31,292.69,$-6.33,0.0
2014-12-31,284.39,$3.72,76.45
2014-09-30,259.72,$3.01,86.15
2014-06-30,251.34,$1.92,130.61
2013-12-31,245.8,$20.41,12.04
2013-09-30,209.03,$15.62,13.39
2013-06-30,197.12,$14.85,13.27
2013-03-31,194.69,$13.51,14.41
2012-12-31,155.6,$11.74,13.25
2012-09-30,133.19,$14.30,9.31
2012-06-30,125.79,$15.13,8.32
2012-03-31,150.41,$14.23,10.57
2011-12-31,129.85,$13.78,9.42
2011-09-30,106.94,$14.92,7.17
2011-06-30,137.45,$13.89,9.89
2011-03-31,143.02,$12.08,11.84
2010-12-31,134.71,$12.23,11.01
2010-09-30,119.62,$10.69,11.19
2010-06-30,100.05,$9.02,11.09
2010-03-31,151.01,$9.56,15.8
2009-12-31,160.28,$9.56,16.76
2009-09-30,149.16,$4.45,33.54
