Vulcan Materials Price to Free Cash Flow Ratio Historical Data,Vulcan Materials Price to Free Cash Flow Ratio Historical Data,Vulcan Materials Price to Free Cash Flow Ratio Historical Data,Vulcan Materials Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,245.21,,52.91
2024-06-30,248.22,$4.63,53.56
2024-03-31,271.93,$1.54,176.35
2023-12-31,225.79,$3.16,71.39
2023-09-30,200.53,$2.77,72.47
2023-06-30,223.35,$1.14,196.64
2022-12-31,172.7,$4.30,40.17
2022-09-30,155.18,$8.12,19.12
2022-06-30,139.51,$6.16,22.65
2022-03-31,179.91,$7.50,24.0
2021-12-31,202.85,$8.39,24.17
2023-03-31,169.59,$4.70,36.07
2021-09-30,165.0,$6.00,27.51
2021-06-30,169.46,$6.83,24.82
2021-03-31,163.95,$7.75,21.16
2020-12-31,143.77,$5.40,26.61
2020-09-30,131.08,$5.92,22.13
2020-06-30,111.74,$5.56,20.11
2020-03-31,103.89,$4.23,24.56
2019-12-31,138.04,$4.67,29.57
2019-09-30,144.67,$3.74,38.64
2019-06-30,131.06,$3.26,40.21
2019-03-31,112.73,$3.14,35.91
2018-12-31,93.81,$2.88,32.56
2018-09-30,105.3,$2.94,35.8
2018-06-30,121.91,$2.71,44.97
2018-03-31,107.61,$1.51,71.03
2017-12-31,120.72,$1.49,81.05
2017-09-30,112.24,$1.75,63.99
2017-06-30,118.62,$1.71,69.52
2017-03-31,112.59,$2.20,51.25
2016-12-31,116.71,$2.34,49.88
2016-09-30,105.9,$2.15,49.31
2016-06-30,111.88,$2.05,54.55
2016-03-31,97.97,$1.84,53.2
2015-12-31,87.95,$1.77,49.82
2015-09-30,82.53,$0.98,84.42
2015-06-30,77.57,$0.42,184.6
2015-03-31,77.83,$0.51,153.59
2014-12-31,60.61,$0.47,129.62
2014-09-30,55.49,$-0.44,0.0
2014-06-30,58.68,$0.98,59.57
2014-03-31,61.11,$0.79,77.12
2013-12-31,54.6,$0.75,72.74
2013-09-30,47.6,$3.02,15.74
2013-06-30,44.47,$0.80,55.88
2013-03-31,47.48,$1.45,32.77
2012-12-31,47.79,$1.96,24.43
2012-06-30,36.45,$0.86,42.48
2012-03-31,39.21,$0.65,60.15
2011-12-31,36.1,$0.65,55.73
2011-09-30,25.27,$0.91,27.87
2011-06-30,35.07,$0.88,39.79
2011-03-31,41.24,$1.27,32.47
2010-12-31,39.89,$1.02,39.3
2010-09-30,32.99,$1.44,22.88
2010-06-30,38.9,$1.87,20.81
2010-03-31,41.72,$2.18,19.14
2009-12-31,46.26,$3.02,15.3
2009-09-30,47.25,$2.68,17.6
