Mohawk Industries Price to Free Cash Flow Ratio Historical Data,Mohawk Industries Price to Free Cash Flow Ratio Historical Data,Mohawk Industries Price to Free Cash Flow Ratio Historical Data,Mohawk Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,155.14,,14.53
2024-06-30,113.59,$10.68,10.64
2024-03-31,130.89,$10.75,12.18
2023-12-31,103.5,$11.25,9.2
2023-09-30,85.81,$11.79,7.28
2023-06-30,103.16,$6.91,14.93
2023-03-31,100.22,$4.55,22.05
2022-12-31,102.22,$1.38,74.07
2022-09-30,91.19,$-1.37,0.0
2022-06-30,124.09,$2.63,47.2
2022-03-31,124.2,$5.95,20.87
2021-12-31,182.18,$9.15,19.9
2021-09-30,177.4,$13.94,12.72
2021-06-30,192.19,$16.17,11.88
2021-03-31,192.31,$19.78,9.72
2020-12-31,140.95,$18.83,7.49
2020-09-30,97.59,$19.54,4.99
2020-06-30,101.76,$16.13,6.31
2020-03-31,76.24,$12.73,5.99
2019-12-31,136.38,$12.08,11.29
2019-09-30,124.07,$9.73,12.75
2019-06-30,147.47,$7.47,19.75
2019-03-31,126.15,$6.54,19.29
2018-12-31,116.96,$5.18,22.58
2018-09-30,175.35,$4.27,41.11
2018-06-30,214.27,$5.63,38.03
2018-03-31,232.22,$3.41,68.05
2017-12-31,275.9,$3.84,71.79
2017-09-30,247.51,$4.73,52.33
2017-06-30,241.69,$5.01,48.21
2017-03-31,229.49,$8.41,27.3
2016-12-31,199.68,$9.03,22.12
2016-09-30,200.34,$8.88,22.55
2016-06-30,189.76,$9.08,20.91
2016-03-31,190.9,$8.01,23.84
2015-12-31,189.39,$5.75,32.96
2015-09-30,181.79,$6.39,28.44
2015-06-30,190.9,$3.97,48.09
2015-03-31,185.75,$1.89,98.33
2014-12-31,155.36,$1.37,113.54
2014-09-30,134.82,$0.29,469.27
2014-06-30,138.34,$0.56,245.2
2014-03-31,135.98,$1.02,133.12
2013-12-31,148.9,$2.19,67.87
2013-09-30,130.25,$4.09,31.83
2013-06-30,112.49,$4.92,22.88
2013-03-31,113.12,$5.28,21.43
2012-12-31,90.47,$5.47,16.53
2012-09-30,80.02,$3.37,23.77
2012-06-30,69.83,$1.70,41.1
2012-03-31,66.51,$0.84,78.74
2011-12-31,59.85,$0.37,162.37
2011-09-30,42.91,$-0.07,0.0
2011-06-30,59.99,$0.55,108.56
2011-03-31,61.15,$1.64,37.2
2010-12-31,56.76,$2.38,23.87
2010-09-30,53.3,$5.06,10.53
2010-06-30,45.76,$5.68,8.06
2010-03-31,54.38,$7.06,7.7
2009-12-31,47.6,$8.23,5.78
