Ameriprise Financial Price to Free Cash Flow Ratio Historical Data,Ameriprise Financial Price to Free Cash Flow Ratio Historical Data,Ameriprise Financial Price to Free Cash Flow Ratio Historical Data,Ameriprise Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,449.44,,7.81
2024-06-30,425.58,$57.54,7.4
2024-03-31,435.25,$45.83,9.5
2023-12-31,375.78,$41.75,9.0
2023-09-30,324.86,$32.46,10.01
2023-06-30,326.03,$36.14,9.02
2023-03-31,299.45,$43.25,6.92
2022-12-31,303.12,$37.16,8.16
2022-09-30,244.3,$39.73,6.15
2022-06-30,229.4,$34.64,6.62
2022-03-31,288.55,$38.21,7.55
2021-12-31,288.76,$26.71,10.81
2021-09-30,251.89,$5.48,45.98
2021-06-30,236.35,$6.06,38.99
2021-03-31,219.82,$11.08,19.83
2020-12-31,182.88,$17.21,10.62
2020-09-30,144.15,$36.43,3.96
2020-06-30,139.43,$35.77,3.9
2019-12-31,152.67,$16.16,9.45
2019-09-30,133.96,$-3.06,0.0
2019-06-30,131.26,$24.35,5.39
2019-03-31,115.83,$21.38,5.42
2018-12-31,93.71,$24.71,3.79
2020-03-31,94.43,$44.71,2.11
2018-09-30,131.64,$8.67,15.18
2018-06-30,123.91,$7.35,16.86
2018-03-31,130.18,$7.40,17.59
2017-12-31,148.35,$8.69,17.08
2017-09-30,129.33,$8.30,15.59
2017-06-30,110.23,$8.82,12.5
2017-03-31,111.57,$9.77,11.42
2016-12-31,94.88,$13.31,7.13
2016-09-30,84.6,$15.87,5.33
2016-06-30,75.58,$14.73,5.13
2016-03-31,78.45,$12.33,6.36
2015-12-31,88.07,$13.89,6.34
2015-09-30,89.79,$11.77,7.63
2015-06-30,102.25,$17.93,5.7
2015-03-31,106.52,$14.57,7.31
2014-12-31,107.2,$11.72,9.14
2014-09-30,99.56,$10.79,9.23
2014-06-30,96.35,$8.36,11.53
2014-03-31,87.92,$10.42,8.44
2013-12-31,91.46,$6.08,15.04
2013-09-30,72.03,$7.82,9.21
2013-06-30,63.6,$3.88,16.41
2013-03-31,57.51,$3.39,16.98
2012-12-31,48.57,$6.14,7.91
2012-09-30,43.64,$6.43,6.78
2012-06-30,39.95,$7.81,5.12
2012-03-31,43.39,$9.05,4.79
2011-12-31,37.51,$8.44,4.45
2011-09-30,29.59,$5.25,5.64
2011-06-30,43.17,$3.74,11.53
2011-03-31,45.54,$6.05,7.53
2010-12-31,42.78,$6.54,6.54
2010-09-30,35.07,$4.69,7.47
2010-06-30,26.66,$6.21,4.29
2010-03-31,33.34,$-2.74,0.0
2009-12-31,28.41,$-5.73,0.0
