Constellation Brands Inc Price to Free Cash Flow Ratio Historical Data,Constellation Brands Inc Price to Free Cash Flow Ratio Historical Data,Constellation Brands Inc Price to Free Cash Flow Ratio Historical Data,Constellation Brands Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,240.71,,30.06
2024-05-31,249.19,$8.01,31.12
2024-02-29,246.5,$8.33,29.58
2023-11-30,237.67,$9.19,25.85
2023-08-31,256.55,$8.07,31.79
2023-05-31,238.45,$8.42,28.34
2023-02-28,218.67,$8.98,24.36
2022-11-30,250.69,$7.84,31.98
2022-08-31,238.89,$10.01,23.86
2022-05-31,237.55,$8.39,28.32
2022-02-28,208.01,$8.83,23.57
2021-11-30,216.68,$8.90,24.35
2021-08-31,202.34,$8.99,22.51
2021-05-31,228.92,$9.18,24.94
2021-02-28,203.86,$8.97,22.72
2020-11-30,195.32,$11.26,17.34
2020-08-31,174.34,$9.44,18.47
2020-05-31,162.49,$10.18,15.96
2020-02-29,161.45,$9.56,16.88
2019-11-30,173.61,$7.18,24.18
2019-08-31,189.93,$7.48,25.39
2019-05-31,164.0,$7.31,22.44
2019-02-28,156.64,$6.54,23.93
2018-11-30,180.5,$6.94,26.01
2018-08-31,191.27,$5.88,32.53
2018-05-31,204.23,$1.97,103.5
2018-02-28,196.62,$0.32,606.66
2017-11-30,198.05,$0.45,440.31
2017-08-31,181.69,$1.89,96.01
2017-02-28,143.4,$3.48,41.25
2016-11-30,136.12,$5.17,26.34
2016-08-31,147.38,$5.25,28.06
2016-05-31,137.25,$3.37,40.76
2016-02-29,126.43,$4.50,28.07
2017-05-31,165.5,$3.27,50.56
2015-11-30,125.1,$3.22,38.84
2015-08-31,113.9,$1.13,101.02
2015-05-31,104.64,$-0.51,0.0
2015-02-28,101.55,$-0.39,0.0
2014-11-30,85.34,$1.02,84.07
2014-02-28,71.73,$2.73,26.31
2013-11-30,62.33,$3.16,19.74
2013-08-31,48.02,$2.69,17.85
2013-05-31,46.93,$0.59,79.75
2013-02-28,39.16,$1.92,20.44
2014-08-31,77.09,$1.61,48.02
2012-11-30,31.76,$2.12,14.97
2012-08-31,29.16,$2.72,10.73
2012-05-31,17.08,$2.57,6.65
2012-02-29,19.33,$3.10,6.24
2011-11-30,17.24,$3.58,4.81
2011-08-31,17.5,$3.20,5.47
2011-05-31,19.44,$3.09,6.28
2011-02-28,17.99,$2.32,7.76
2010-11-30,18.24,$2.13,8.56
2010-08-31,14.75,$2.22,6.66
2010-05-31,14.75,$1.83,8.04
2010-02-28,13.31,$1.27,10.45
2009-11-30,15.15,$1.88,8.08
2009-08-31,13.09,$2.05,6.4
