Fidelity National Information Services Price to Free Cash Flow Ratio Historical Data,Fidelity National Information Services Price to Free Cash Flow Ratio Historical Data,Fidelity National Information Services Price to Free Cash Flow Ratio Historical Data,Fidelity National Information Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,82.45,,15.19
2024-06-30,75.36,$5.43,13.89
2024-03-31,73.84,$5.28,13.99
2023-12-31,59.48,$5.44,10.94
2023-09-30,54.25,$4.72,11.5
2023-06-30,53.18,$2.98,17.86
2023-03-31,52.32,$3.60,14.55
2022-12-31,64.78,$4.22,15.35
2022-09-30,71.67,$4.00,17.91
2022-06-30,86.46,$5.64,15.34
2022-03-31,94.27,$5.65,16.68
2021-12-31,101.94,$5.73,17.79
2021-09-30,113.22,$6.35,17.82
2021-06-30,131.41,$5.62,23.4
2021-03-31,130.08,$6.03,21.58
2020-12-31,130.52,$5.28,24.7
2020-09-30,135.5,$4.71,28.77
2020-06-30,123.13,$3.55,34.73
2020-03-31,111.41,$3.17,35.1
2019-12-31,127.01,$3.51,36.21
2019-09-30,120.92,$3.92,30.81
2019-06-30,111.45,$4.24,26.27
2019-03-31,102.45,$4.04,25.35
2018-12-31,92.59,$4.13,22.42
2018-09-30,98.18,$3.97,24.74
2018-06-30,95.17,$4.19,22.72
2018-03-31,86.18,$3.00,28.69
2017-12-31,83.93,$3.36,25.0
2017-09-30,83.05,$3.13,26.54
2017-06-30,75.71,$3.06,24.77
2017-03-31,70.35,$4.13,17.03
2016-12-31,66.6,$3.97,16.79
2016-09-30,67.59,$3.81,17.73
2016-06-30,64.43,$3.29,19.58
2016-03-31,55.17,$2.76,20.0
2015-12-31,52.59,$2.48,21.23
2015-09-30,57.96,$2.68,21.63
2015-06-30,53.2,$2.52,21.1
2015-03-31,58.35,$2.74,21.28
2014-12-31,53.11,$2.74,19.36
2014-09-30,47.88,$2.41,19.83
2014-06-30,46.36,$2.77,16.76
2014-03-31,45.07,$2.46,18.3
2013-12-31,45.06,$2.46,18.31
2013-09-30,38.81,$2.36,16.42
2013-06-30,35.63,$2.20,16.2
2013-03-31,32.79,$2.51,13.08
2012-12-31,28.64,$2.52,11.35
2012-09-30,25.55,$2.61,9.8
2012-06-30,27.71,$2.63,10.53
2012-03-31,26.77,$2.70,9.93
2011-12-31,21.36,$2.84,7.53
2011-09-30,19.5,$2.39,8.17
2011-06-30,24.63,$2.58,9.56
2011-03-31,26.11,$2.20,11.87
2010-12-31,21.84,$2.15,10.15
2010-09-30,21.6,$1.90,11.4
2010-06-30,21.31,$1.68,12.65
2010-03-31,18.59,$2.04,9.1
2009-12-31,18.55,$2.10,8.85
