Tyler Technologies Price to Free Cash Flow Ratio Historical Data,Tyler Technologies Price to Free Cash Flow Ratio Historical Data,Tyler Technologies Price to Free Cash Flow Ratio Historical Data,Tyler Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,587.87,,58.25
2024-06-30,502.78,$10.09,49.82
2024-03-31,425.01,$8.20,51.81
2023-12-31,418.12,$8.42,49.68
2023-09-30,386.14,$7.90,48.86
2023-06-30,416.47,$6.84,60.89
2023-03-31,354.64,$9.02,39.31
2022-12-31,322.41,$8.47,38.09
2022-09-30,347.5,$8.13,42.76
2022-06-30,332.48,$9.89,33.62
2022-03-31,444.89,$7.60,58.52
2021-12-31,537.95,$8.00,67.27
2021-09-30,458.65,$7.64,60.02
2021-06-30,452.37,$6.95,65.1
2021-03-31,424.53,$8.40,50.52
2020-12-31,436.52,$8.00,54.53
2020-09-30,348.56,$7.65,45.57
2020-06-30,346.88,$6.75,51.41
2020-03-31,296.56,$6.28,47.22
2019-12-31,300.02,$5.42,55.32
2019-09-30,262.5,$5.42,48.41
2019-06-30,216.02,$4.87,44.4
2019-03-31,204.4,$4.95,41.3
2018-12-31,185.82,$5.55,33.47
2018-09-30,245.06,$5.08,48.26
2018-06-30,222.1,$4.69,47.31
2018-03-31,210.96,$4.06,51.97
2017-12-31,177.05,$3.89,45.5
2017-09-30,174.32,$3.79,46.04
2017-06-30,175.67,$3.45,50.94
2017-03-31,154.56,$4.05,38.12
2016-12-31,142.77,$3.96,36.09
2016-09-30,171.23,$4.47,38.28
2016-06-30,166.71,$4.10,40.7
2016-03-31,128.61,$4.07,31.57
2015-12-31,174.32,$3.33,52.3
2015-09-30,149.31,$2.99,49.91
2015-06-30,129.38,$3.38,38.32
2015-03-31,120.53,$3.30,36.58
2014-12-31,109.44,$3.77,29.02
2014-09-30,88.4,$2.50,35.4
2014-06-30,91.21,$1.69,53.98
2014-03-31,83.68,$1.15,73.08
2013-12-31,102.13,$1.13,90.05
2013-09-30,87.47,$1.52,57.43
2013-06-30,68.55,$1.46,46.92
2013-03-31,61.26,$1.34,45.87
2012-12-31,48.44,$1.51,32.17
2012-09-30,44.02,$1.35,32.54
2012-06-30,40.35,$1.13,35.57
2012-03-31,38.41,$1.57,24.48
2011-12-31,30.11,$1.33,22.61
2011-09-30,25.28,$1.27,19.87
2011-06-30,26.78,$1.29,20.83
2011-03-31,23.71,$1.01,23.37
2010-12-31,20.76,$0.86,24.25
2010-09-30,20.16,$0.87,23.26
2010-06-30,15.52,$0.63,24.83
2010-03-31,18.74,$0.69,26.98
2009-12-31,19.91,$0.84,23.84
