Illumina Price to Free Cash Flow Ratio Historical Data,Illumina Price to Free Cash Flow Ratio Historical Data,Illumina Price to Free Cash Flow Ratio Historical Data,Illumina Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,131.4,,58.25
2024-06-30,104.38,$2.26,46.27
2024-03-31,133.49,$2.31,57.67
2023-12-31,135.36,$1.79,75.57
2023-09-30,133.45,$1.07,124.49
2023-06-30,182.26,$-0.27,0.0
2023-03-31,226.07,$-0.29,0.0
2022-12-31,196.56,$0.68,291.12
2022-09-30,185.47,$1.71,108.2
2022-06-30,179.22,$0.23,784.67
2022-03-31,339.66,$1.30,261.84
2021-12-31,369.83,$2.23,165.71
2021-09-30,394.3,$3.14,125.52
2021-06-30,460.01,$6.09,75.56
2021-03-31,373.35,$6.02,61.97
2020-12-31,359.68,$6.02,59.74
2020-09-30,300.46,$6.27,47.95
2020-06-30,360.02,$7.04,51.14
2020-03-31,265.5,$6.33,41.97
2019-12-31,322.49,$5.65,57.07
2019-09-30,295.74,$4.66,63.49
2019-06-30,357.88,$4.69,76.35
2019-03-31,302.03,$5.52,54.75
2018-12-31,291.57,$5.68,51.35
2018-09-30,356.82,$5.57,64.02
2018-06-30,271.5,$5.09,53.39
2018-03-31,229.83,$4.35,52.78
2017-12-31,212.4,$3.82,55.64
2017-09-30,193.65,$3.56,54.38
2017-06-30,168.68,$3.34,50.5
2017-03-31,165.88,$3.77,43.95
2016-12-31,124.47,$3.51,35.49
2016-09-30,176.59,$4.52,39.05
2016-06-30,136.47,$4.73,28.88
2016-03-31,157.59,$4.42,35.63
2015-12-31,186.59,$4.32,43.24
2015-09-30,171.09,$2.77,61.68
2015-06-30,212.27,$2.57,82.57
2015-03-31,180.46,$0.66,272.89
2014-12-31,179.43,$1.18,152.55
2014-09-30,159.35,$0.93,170.7
2014-06-30,173.56,$0.62,278.95
2013-12-31,107.51,$2.20,48.97
2013-09-30,78.58,$3.03,25.97
2013-06-30,72.75,$2.70,26.96
2013-03-31,52.47,$2.46,21.31
2012-12-31,54.04,$2.50,21.66
2014-03-31,144.51,$1.34,108.06
2012-09-30,46.85,$1.77,26.46
2012-06-30,39.26,$2.05,19.13
2012-03-31,51.14,$1.91,26.77
2011-12-31,29.63,$2.02,14.69
2011-09-30,39.78,$1.96,20.3
2011-06-30,73.05,$1.68,43.36
2011-03-31,68.12,$1.70,40.07
2010-12-31,61.57,$1.55,39.65
2010-09-30,47.83,$1.47,32.58
2010-06-30,42.32,$1.21,34.96
2010-03-31,37.82,$0.94,40.41
2009-12-31,29.82,$0.87,34.21
