Capital One Financial Price to Free Cash Flow Ratio Historical Data,Capital One Financial Price to Free Cash Flow Ratio Historical Data,Capital One Financial Price to Free Cash Flow Ratio Historical Data,Capital One Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,146.93,,9.47
2024-06-30,137.82,$15.52,8.88
2023-12-31,129.41,$51.16,2.53
2023-09-30,95.23,$53.05,1.8
2023-06-30,106.76,$41.89,2.55
2023-03-31,93.22,$40.68,2.29
2022-12-31,89.67,$32.74,2.74
2022-09-30,88.44,$22.94,3.85
2022-06-30,99.41,$20.55,4.84
2022-03-31,124.63,$-9.45,0.0
2021-12-31,137.2,$1.00,137.7
2021-09-30,152.58,$-3.21,0.0
2021-06-30,144.68,$0.35,411.83
2020-12-31,91.91,$34.84,2.64
2020-09-30,66.73,$55.50,1.2
2020-06-30,58.03,$52.95,1.1
2020-03-31,46.45,$51.79,0.9
2019-12-31,94.44,$48.76,1.94
2021-03-31,118.69,$28.37,4.18
2019-09-30,83.15,$32.85,2.53
2019-06-30,82.56,$32.70,2.52
2019-03-31,74.0,$32.16,2.3
2018-12-31,68.12,$25.05,2.72
2018-09-30,85.18,$25.30,3.37
2018-06-30,82.12,$24.31,3.38
2018-03-31,85.25,$23.77,3.59
2017-12-31,88.22,$26.94,3.27
2017-09-30,74.66,$22.29,3.35
2017-06-30,72.51,$23.04,3.15
2017-03-31,75.68,$20.24,3.74
2016-12-31,75.85,$21.73,3.49
2016-09-30,62.12,$20.27,3.07
2016-06-30,54.6,$22.14,2.47
2016-03-31,59.24,$21.72,2.73
2015-12-31,61.29,$17.51,3.5
2015-09-30,61.27,$18.27,3.35
2015-06-30,73.96,$14.77,5.01
2015-03-31,65.94,$11.49,5.74
2014-12-31,68.79,$15.39,4.47
2014-09-30,67.77,$18.07,3.75
2014-06-30,68.32,$15.68,4.36
2024-03-31,147.6,$20.43,7.22
2014-03-31,63.57,$17.18,3.7
2013-12-31,62.85,$15.60,4.03
2013-09-30,56.15,$14.22,3.95
2013-06-30,51.08,$16.96,3.01
2013-03-31,44.47,$16.19,2.75
2012-12-31,46.84,$15.82,2.96
2012-09-30,46.05,$18.10,2.54
2012-06-30,44.12,$12.92,3.41
2012-03-31,44.94,$14.91,3.01
2011-12-31,34.06,$15.55,2.19
2011-09-30,31.88,$12.33,2.59
2011-06-30,41.52,$15.98,2.6
2011-03-31,41.71,$16.74,2.49
2010-12-31,34.13,$17.11,1.99
2010-09-30,31.68,$15.44,2.05
2010-06-30,32.24,$8.14,3.96
2010-03-31,33.09,$5.04,6.57
2009-12-31,30.59,$4.27,7.17
