Sherwin-Williams Price to Free Cash Flow Ratio Historical Data,Sherwin-Williams Price to Free Cash Flow Ratio Historical Data,Sherwin-Williams Price to Free Cash Flow Ratio Historical Data,Sherwin-Williams Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,369.37,,39.61
2024-06-30,297.83,$9.32,31.94
2024-03-31,345.84,$9.60,36.04
2023-12-31,309.88,$10.47,29.61
2023-09-30,252.83,$9.61,26.31
2023-06-30,262.61,$6.97,37.65
2023-03-31,221.73,$4.79,46.26
2022-12-31,233.49,$5.00,46.71
2022-09-30,200.92,$3.70,54.28
2022-06-30,219.2,$4.70,46.67
2022-03-31,243.8,$6.31,38.61
2021-12-31,343.18,$7.07,48.57
2021-09-30,272.15,$9.58,28.42
2021-06-30,264.58,$11.98,22.09
2021-03-31,238.44,$12.14,19.63
2020-12-31,236.86,$11.48,20.64
2020-09-30,224.14,$10.71,20.93
2020-06-30,185.52,$8.35,22.23
2020-03-31,147.18,$7.26,20.28
2019-12-31,186.42,$7.13,26.14
2019-09-30,175.33,$6.65,26.37
2019-06-30,146.13,$6.60,22.13
2019-03-31,136.98,$5.75,23.81
2018-12-31,124.81,$6.07,20.55
2018-09-30,144.11,$6.52,22.09
2018-06-30,128.78,$5.83,22.08
2018-03-31,123.61,$2.11,58.57
2017-12-31,128.98,$3.19,40.45
2017-09-30,112.38,$2.64,42.53
2017-06-30,109.88,$2.29,47.89
2016-12-31,83.69,$3.91,21.41
2016-09-30,85.88,$6.33,13.56
2016-06-30,90.9,$5.72,15.9
2016-03-31,87.86,$5.63,15.59
2015-12-31,79.87,$7.30,10.94
2017-03-31,96.86,$3.46,27.99
2015-09-30,68.37,$3.07,22.24
2015-06-30,84.19,$3.03,27.77
2015-03-31,86.89,$3.03,28.66
2014-12-31,80.15,$2.98,26.9
2014-09-30,66.57,$3.36,19.79
2014-06-30,62.74,$3.13,20.06
2014-03-31,59.61,$2.99,19.92
2013-12-31,55.33,$2.98,18.59
2013-09-30,54.79,$3.03,18.08
2013-06-30,52.95,$2.67,19.84
2013-03-31,50.51,$2.57,19.62
2012-12-31,45.86,$2.37,19.31
2012-09-30,44.28,$2.25,19.68
2012-06-30,39.24,$2.19,17.95
2012-03-31,32.12,$1.83,17.56
2011-12-31,26.28,$1.88,14.01
2011-09-30,21.79,$1.71,12.71
2011-06-30,24.46,$1.37,17.82
2011-03-31,24.4,$1.70,14.39
2010-12-31,24.22,$1.81,13.4
2010-09-30,21.62,$1.89,11.43
2010-06-30,19.81,$2.18,9.09
2010-03-31,19.29,$2.20,8.75
2009-12-31,17.47,$2.25,7.76
