Essex Property Trust Price to Free Cash Flow Ratio Historical Data,Essex Property Trust Price to Free Cash Flow Ratio Historical Data,Essex Property Trust Price to Free Cash Flow Ratio Historical Data,Essex Property Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,301.79,,50.61
2024-06-30,272.2,$5.96,45.65
2024-03-31,242.63,$7.59,31.97
2023-12-31,243.26,$14.10,17.25
2023-09-30,206.17,$15.75,13.09
2023-06-30,225.29,$15.34,14.69
2023-03-31,199.12,$15.26,13.05
2022-12-31,199.51,$14.15,14.1
2022-09-30,225.7,$11.84,19.06
2022-06-30,241.44,$11.39,21.2
2022-03-31,316.31,$11.67,27.11
2021-12-31,320.47,$13.49,23.75
2021-09-30,289.2,$14.21,20.35
2021-06-30,269.61,$14.54,18.55
2021-03-31,242.62,$5.21,46.59
2020-12-31,210.32,$1.10,191.67
2020-09-30,176.33,$1.04,169.63
2020-06-30,199.17,$-0.77,0.0
2019-12-31,256.74,$8.32,30.86
2019-09-30,276.95,$23.34,11.87
2019-06-30,246.04,$17.40,14.14
2019-03-31,242.14,$18.52,13.07
2018-12-31,203.91,$19.66,10.37
2020-03-31,189.67,$5.80,32.7
2018-09-30,205.16,$10.43,19.66
2018-06-30,197.29,$10.51,18.77
2018-03-31,197.06,$8.67,22.73
2017-12-31,196.1,$7.36,26.65
2017-09-30,204.9,$7.71,26.56
2017-06-30,206.09,$7.79,26.46
2017-03-31,184.23,$6.36,28.97
2016-12-31,183.62,$6.81,26.98
2016-09-30,174.65,$7.72,22.61
2016-06-30,177.63,$4.45,39.87
2015-12-31,183.86,$3.17,57.99
2015-09-30,170.57,$3.44,49.52
2015-06-30,161.15,$-1.62,0.0
2015-03-31,173.18,$-2.11,0.0
2014-12-31,154.67,$0.27,572.22
2014-09-30,133.0,$-3.68,0.0
2014-06-30,136.6,$0.23,597.27
2014-03-31,124.74,$2.37,52.53
2013-12-31,104.5,$-1.42,0.0
2013-09-30,106.66,$-6.16,0.0
2013-06-30,113.84,$-7.59,0.0
2013-03-31,107.04,$-8.56,0.0
2012-12-31,103.41,$-4.93,0.0
2012-09-30,103.75,$1.64,63.2
2012-06-30,106.93,$3.14,34.09
2012-03-31,104.49,$3.24,32.23
2011-12-31,96.19,$1.62,59.5
2011-09-30,81.57,$-9.36,0.0
2011-06-30,91.15,$-10.95,0.0
2011-03-31,82.9,$-11.19,0.0
2010-12-31,75.71,$-9.97,0.0
2010-09-30,71.89,$0.35,207.23
2010-06-30,63.47,$2.33,27.22
2010-03-31,57.95,$3.24,17.89
2009-12-31,53.27,$3.25,16.42
2016-03-31,180.82,$4.78,37.87
