Intuitive Surgical Price to Free Cash Flow Ratio Historical Data,Intuitive Surgical Price to Free Cash Flow Ratio Historical Data,Intuitive Surgical Price to Free Cash Flow Ratio Historical Data,Intuitive Surgical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,492.63,,423.22
2024-06-30,444.85,$1.16,382.17
2024-03-31,399.09,$1.66,239.75
2023-12-31,337.36,$2.10,160.85
2023-09-30,292.29,$3.49,83.78
2023-06-30,341.94,$3.28,104.15
2023-03-31,255.47,$2.79,91.48
2022-12-31,265.35,$2.65,100.23
2022-09-30,187.44,$3.02,62.12
2022-06-30,200.71,$3.58,56.06
2022-03-31,301.68,$3.99,75.69
2021-12-31,359.3,$4.78,75.11
2021-09-30,331.38,$5.17,64.14
2021-06-30,306.55,$4.57,67.05
2021-03-31,246.31,$3.63,67.87
2020-12-31,272.7,$3.17,86.11
2020-09-30,236.51,$2.74,86.34
2020-06-30,189.94,$3.03,62.66
2020-03-31,165.07,$3.35,49.25
2019-12-31,197.05,$3.27,60.23
2019-09-30,179.98,$2.93,61.46
2019-06-30,174.85,$2.82,62.02
2019-03-31,190.19,$2.69,70.8
2018-12-31,159.64,$2.76,57.93
2018-09-30,191.33,$2.83,67.68
2018-06-30,159.49,$2.92,54.61
2018-03-31,137.61,$2.87,48.01
2017-12-31,121.65,$2.73,44.53
2017-09-30,116.21,$2.76,42.05
2017-06-30,103.93,$2.61,39.86
2017-03-31,85.16,$2.84,30.01
2016-12-31,70.46,$2.92,24.12
2016-09-30,80.54,$2.90,27.81
2016-06-30,73.49,$2.64,27.84
2016-03-31,66.78,$2.44,27.32
2015-12-31,60.68,$2.13,28.54
2015-09-30,51.03,$1.60,31.86
2015-06-30,53.83,$1.59,33.81
2015-03-31,56.11,$1.51,37.23
2014-12-31,58.77,$1.65,35.64
2014-09-30,51.31,$1.82,28.22
2014-06-30,45.76,$1.91,23.93
2014-03-31,48.67,$1.95,24.95
2013-12-31,42.68,$2.15,19.86
2013-09-30,41.81,$2.05,20.41
2013-06-30,56.24,$2.14,26.31
2013-03-31,54.58,$2.22,24.54
2012-12-31,54.49,$1.89,28.79
2012-09-30,55.07,$2.02,27.31
2012-06-30,61.53,$1.81,34.09
2012-03-31,60.19,$1.71,35.22
2011-12-31,51.45,$1.64,31.3
2011-09-30,40.48,$1.47,27.59
2011-06-30,41.35,$1.24,33.36
2011-03-31,37.05,$1.22,30.47
2010-12-31,28.64,$1.24,23.09
2010-09-30,31.53,$1.20,26.33
2010-06-30,35.07,$1.28,27.47
2010-03-31,38.68,$1.06,36.56
2009-12-31,33.71,$0.96,35.11
