Intercontinental Exchange Price to Free Cash Flow Ratio Historical Data,Intercontinental Exchange Price to Free Cash Flow Ratio Historical Data,Intercontinental Exchange Price to Free Cash Flow Ratio Historical Data,Intercontinental Exchange Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,161.55,,27.65
2024-06-30,136.89,$5.84,23.43
2024-03-31,136.97,$5.89,23.24
2023-12-31,127.58,$5.40,23.61
2023-09-30,108.92,$5.64,19.32
2023-06-30,111.54,$5.62,19.86
2023-03-31,102.48,$5.33,19.23
2022-12-31,100.39,$5.48,18.33
2022-09-30,88.09,$5.36,16.44
2022-06-30,91.33,$5.02,18.18
2022-03-31,127.8,$4.79,26.67
2021-12-31,131.92,$4.73,27.91
2021-09-30,110.48,$4.83,22.88
2021-06-30,113.9,$4.62,24.63
2021-03-31,106.85,$4.72,22.66
2020-12-31,109.99,$4.45,24.7
2020-09-30,95.19,$3.99,23.85
2020-06-30,86.89,$4.21,20.64
2020-03-31,76.36,$3.96,19.26
2019-12-31,87.16,$4.17,20.92
2019-09-30,86.64,$4.14,20.92
2019-06-30,80.45,$4.15,19.36
2019-03-31,71.05,$4.03,17.61
2018-12-31,70.03,$3.89,18.0
2018-09-30,69.41,$3.67,18.94
2018-06-30,67.95,$3.26,20.87
2018-03-31,66.79,$2.89,23.11
2017-12-31,64.77,$2.91,22.26
2017-09-30,62.89,$2.86,21.95
2017-06-30,60.16,$2.99,20.09
2017-03-31,54.47,$2.98,18.26
2016-12-31,51.16,$2.98,17.18
2016-09-30,48.71,$2.68,18.16
2016-06-30,46.15,$2.30,20.09
2016-03-31,42.25,$2.03,20.8
2015-12-31,45.88,$1.85,24.81
2015-09-30,41.95,$2.04,20.57
2015-06-30,39.79,$1.98,20.13
2015-03-31,41.38,$1.99,20.77
2014-12-31,38.79,$2.12,18.32
2014-09-30,34.4,$1.45,23.69
2014-06-30,33.2,$1.72,19.34
2014-03-31,34.65,$1.86,18.66
2013-12-31,39.28,$1.35,29.0
2013-09-30,31.59,$1.64,19.31
2013-06-30,30.95,$1.82,16.96
2013-03-31,28.39,$1.70,16.68
2012-12-31,21.56,$1.82,11.83
2012-09-30,23.23,$1.77,13.15
2012-06-30,23.67,$1.81,13.06
2012-03-31,23.92,$1.77,13.5
2011-12-31,20.99,$1.69,12.4
2011-09-30,20.59,$1.74,11.85
2011-06-30,21.71,$1.46,14.85
2011-03-31,21.51,$1.45,14.87
2010-12-31,20.74,$1.31,15.89
2010-09-30,18.23,$1.37,13.3
2010-06-30,19.68,$1.38,14.29
2010-03-31,19.53,$1.27,15.33
2009-12-31,19.55,$1.19,16.39
