DoorDash Price to Free Cash Flow Ratio Historical Data,DoorDash Price to Free Cash Flow Ratio Historical Data,DoorDash Price to Free Cash Flow Ratio Historical Data,DoorDash Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,128.71,,31.35
2024-06-30,108.78,$4.11,26.5
2024-03-31,137.72,$3.82,36.01
2023-12-31,98.89,$3.43,28.81
2023-09-30,79.47,$2.23,35.63
2023-06-30,76.42,$1.68,45.4
2023-03-31,63.56,$1.13,56.42
2022-12-31,48.82,$0.06,864.07
2022-09-30,49.45,$0.54,91.12
2022-06-30,64.17,$0.41,156.17
2022-03-31,117.19,$0.75,156.57
2021-12-31,148.9,$1.35,110.23
2021-09-30,205.98,$1.85,111.47
