Nordson Price to Free Cash Flow Ratio Historical Data,Nordson Price to Free Cash Flow Ratio Historical Data,Nordson Price to Free Cash Flow Ratio Historical Data,Nordson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,256.56,,26.02
2024-07-31,249.57,$9.86,25.31
2024-04-30,256.75,$10.54,24.37
2024-01-31,249.68,$11.42,21.87
2023-10-31,210.3,$10.53,19.97
2023-07-31,248.17,$10.63,23.34
2023-04-30,212.72,$9.41,22.61
2023-01-31,238.63,$8.11,29.42
2022-10-31,220.07,$7.93,27.75
2022-07-31,225.3,$7.92,28.46
2022-04-30,209.85,$7.99,26.26
2022-01-31,225.75,$8.14,27.74
2021-10-31,246.27,$8.65,28.49
2021-07-31,218.59,$11.91,18.36
2021-04-30,203.96,$11.65,17.51
2021-01-31,172.32,$12.25,14.07
2020-10-31,185.86,$10.89,17.06
2020-01-31,161.19,$6.51,24.76
2019-10-31,149.34,$5.50,27.17
2019-07-31,134.52,$5.30,25.4
2019-04-30,138.22,$6.35,21.77
2019-01-31,122.46,$6.21,19.72
2018-10-31,115.53,$7.05,16.39
2018-07-31,125.97,$6.99,18.03
2018-04-30,120.51,$5.94,20.29
2018-01-31,134.39,$3.24,41.49
2017-10-31,118.22,$0.19,631.84
2017-07-31,118.22,$0.42,282.62
2017-04-30,116.28,$0.29,398.23
2020-04-30,153.95,$2.65,58.13
2016-10-31,92.56,$4.78,19.36
2016-07-31,81.38,$4.60,17.68
2016-04-30,70.53,$5.06,13.94
2016-01-31,55.34,$4.55,12.15
2015-10-31,64.99,$5.07,12.81
2017-01-31,105.21,$3.23,32.56
2015-07-31,67.35,$3.33,20.2
2015-04-30,72.2,$3.81,18.97
2015-01-31,65.86,$3.35,19.68
2014-10-31,68.99,$3.81,18.11
2014-07-31,67.56,$3.36,20.09
2014-04-30,66.67,$3.58,18.62
2014-01-31,62.0,$3.58,17.3
2013-10-31,64.32,$3.47,18.55
2013-07-31,64.21,$3.93,16.34
2013-04-30,61.71,$3.74,16.48
2013-01-31,59.91,$3.79,15.83
2012-10-31,52.17,$3.83,13.61
2012-07-31,45.19,$3.33,13.58
2012-04-30,47.41,$3.15,15.07
2012-01-31,39.79,$3.12,12.73
2011-10-31,40.56,$3.31,12.25
2011-07-31,44.51,$3.40,13.08
2011-04-30,49.58,$3.10,15.99
2011-01-31,40.09,$0.12,328.64
2010-10-31,33.81,$0.09,387.73
2010-07-31,27.24,$-0.29,0.0
2010-04-30,30.94,$-0.25,0.0
2009-10-31,22.59,$2.45,9.2
2009-07-31,19.15,$2.46,7.8
2009-04-30,15.4,$6.53,2.36
