VERRA MOBILITY CORP Price to Free Cash Flow Ratio Historical Data,VERRA MOBILITY CORP Price to Free Cash Flow Ratio Historical Data,VERRA MOBILITY CORP Price to Free Cash Flow Ratio Historical Data,VERRA MOBILITY CORP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.76,,40.13
2024-06-30,27.2,$0.69,39.32
2024-03-31,24.97,$0.87,28.63
2023-12-31,23.03,$0.93,24.8
2023-09-30,18.7,$1.12,16.65
2023-06-30,19.72,$1.12,17.59
2023-03-31,16.92,$1.12,15.08
2022-12-31,13.83,$1.07,12.93
2022-09-30,15.37,$1.05,14.6
2022-06-30,15.71,$1.31,11.99
2022-03-31,16.28,$1.12,14.57
2021-12-31,15.43,$1.03,15.03
2021-09-30,15.07,$0.67,22.59
2021-06-30,15.37,$0.27,57.98
2021-03-31,13.54,$0.13,102.46
2020-12-31,13.42,$0.14,95.79
2020-09-30,9.66,$0.33,28.97
2020-06-30,10.28,$0.51,20.3
2020-03-31,7.14,$0.51,13.96
2019-12-31,13.99,$0.65,21.51
2019-09-30,14.35,$0.37,38.35
2019-06-30,13.09,$0.44,30.09
2019-03-31,11.9,$0.58,20.35
2018-12-31,9.76,$0.26,37.57
2018-09-30,10.62,$0.75,14.15
2018-06-30,10.16,$0.44,23.17
2018-03-31,10.0,$0.27,36.78
2017-12-31,9.94,$0.42,23.75
