Canadian Imperial Bank Of Commerce Price to Free Cash Flow Ratio Historical Data,Canadian Imperial Bank Of Commerce Price to Free Cash Flow Ratio Historical Data,Canadian Imperial Bank Of Commerce Price to Free Cash Flow Ratio Historical Data,Canadian Imperial Bank Of Commerce Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,62.64,,3.43
2024-07-31,50.94,$18.24,2.79
2024-04-30,45.39,$3.41,13.3
2024-01-31,43.34,$5.92,7.33
2023-10-31,33.37,$9.01,3.7
2023-07-31,41.0,$6.71,6.11
2023-04-30,38.43,$18.76,2.05
2023-01-31,41.17,$19.47,2.11
2022-10-31,40.35,$18.53,2.18
2022-07-31,44.35,$18.60,2.38
2022-04-30,47.82,$18.07,2.65
2022-01-31,53.75,$-3.59,0.0
2021-10-31,51.37,$-3.68,0.0
2021-07-31,48.75,$-12.76,0.0
2021-04-30,43.16,$-3.40,0.0
2021-01-31,34.96,$48.38,0.72
2020-10-31,30.22,$50.02,0.6
2020-07-31,27.68,$56.73,0.49
2020-04-30,23.34,$43.50,0.54
2020-01-31,31.44,$11.16,2.82
2019-10-31,32.47,$15.51,2.09
2019-07-31,29.57,$9.51,3.11
2019-04-30,31.23,$8.81,3.55
2019-01-31,31.03,$10.99,2.82
2018-10-31,31.17,$8.40,3.71
2018-07-31,32.58,$11.23,2.9
2018-04-30,30.73,$11.45,2.68
2018-01-31,34.55,$8.32,4.15
2017-10-31,30.4,$2.46,12.36
2017-07-31,29.63,$2.85,10.41
2017-04-30,27.25,$2.80,9.74
2017-01-31,28.41,$-0.30,0.0
2016-10-31,24.72,$9.57,2.58
2016-07-31,24.74,$11.29,2.19
2016-04-30,26.0,$24.59,1.06
2016-01-31,20.62,$22.93,0.9
2015-10-31,24.05,$19.47,1.23
2015-07-31,22.17,$4.87,4.55
2015-04-30,24.63,$-10.22,0.0
2015-01-31,20.83,$-10.38,0.0
2014-10-31,27.13,$-19.41,0.0
2014-07-31,27.28,$-5.22,0.0
2014-04-30,25.98,$-4.42,0.0
2014-01-31,22.39,$-1.91,0.0
2013-10-31,24.0,$6.05,3.97
2013-07-31,21.14,$6.24,3.39
2013-04-30,22.01,$4.26,5.17
2013-01-31,22.66,$0.52,43.91
2012-10-31,20.88,$1.61,12.98
2012-07-31,19.18,$-4.22,0.0
2012-04-30,19.54,$2.51,7.79
2012-01-31,19.5,$2.37,8.21
2011-10-31,19.1,$-2.14,0.0
2011-07-31,19.07,$-10.27,0.0
2011-04-30,21.36,$-18.77,0.0
2011-01-31,18.65,$-10.03,0.0
2010-10-31,18.53,$-9.24,0.0
2010-07-31,16.43,$-0.49,0.0
2010-04-30,17.34,$8.96,1.94
2010-01-31,13.99,$6.24,2.24
2009-10-31,13.18,$27.57,0.48
